,Season,Week #,RMSE
0,2007,1,15.346970259036107
1,2007,2,10.640916861294114
2,2007,3,16.059719108631015
3,2007,4,15.542137179665959
4,2007,5,15.632717670445809
5,2007,6,12.21625767635169
6,2007,7,9.97474803208969
7,2007,8,13.974936429470116
8,2007,9,17.26888688788938
9,2007,10,13.610881155135466
10,2007,11,13.799960052143009
11,2007,12,16.096331767102757
12,2007,13,13.50987849378578
13,2007,14,14.426266572166284
14,2007,15,14.237395585174342
15,2007,16,15.387610144405736
16,2007,17,9.79611245244266
17,2007,18,13.88398065052459
18,2007,19,10.163252592621442
19,2007,20,11.640342218696865
20,2008,1,16.045976861602494
21,2008,2,11.37014092833435
22,2008,3,11.351915582440897
23,2008,4,12.153411857178032
24,2008,5,15.670661283762808
25,2008,6,14.819602453357545
26,2008,7,14.708153638412423
27,2008,8,13.010380392578885
28,2008,9,10.907342358633215
29,2008,10,15.192125909286208
30,2008,11,10.59941593624732
31,2008,12,17.683417845504383
32,2008,13,17.115734821695
33,2008,14,12.847148728292934
34,2008,15,12.21780632268253
35,2008,16,16.57106654355235
36,2008,17,17.436920300753282
37,2008,18,9.440740675399946
38,2008,19,18.84869106885306
39,2008,20,6.197559402154717
40,2009,1,10.648424582522495
41,2009,2,13.789384796327097
42,2009,3,9.884969119578844
43,2009,4,15.072857701670657
44,2009,5,18.901762649286095
45,2009,6,20.742552088928058
46,2009,7,20.968025627528526
47,2009,8,13.844426914406988
48,2009,9,13.08626165142893
49,2009,10,9.381423931954972
50,2009,11,11.792977461229482
51,2009,12,13.08156645546418
52,2009,13,10.738987768661312
53,2009,14,15.673164629322839
54,2009,15,14.543349052999044
55,2009,16,18.117150409579757
56,2009,17,19.3111231862175
57,2009,18,15.83948398769546
58,2009,19,24.262562756729345
59,2009,20,6.2054402241964555
60,2010,1,11.128405765246557
61,2010,2,15.323816284466737
62,2010,3,15.249633013265907
63,2010,4,14.017344652719938
64,2010,5,15.37862893369194
65,2010,6,9.893798163378161
66,2010,7,18.036611954035855
67,2010,8,13.798478570318704
68,2010,9,13.198900778228097
69,2010,10,14.76956363371744
70,2010,11,14.377088978405432
71,2010,12,13.583204761086877
72,2010,13,15.067580945437504
73,2010,14,15.214588512605015
74,2010,15,11.130919202010586
75,2010,16,14.788710375521074
76,2010,17,17.367070892089227
77,2010,18,9.070698400044938
78,2010,19,20.87684402043049
79,2010,20,2.987206841752478
80,2011,1,17.629524061666064
81,2011,2,14.430322836201924
82,2011,3,10.278133925996364
83,2011,4,8.119839666943193
84,2011,5,18.32682204297223
85,2011,6,13.956710391657406
86,2011,7,21.544994049814804
87,2011,8,17.233554861846503
88,2011,9,12.788383740326566
89,2011,10,17.825057297990814
90,2011,11,14.991708371482133
91,2011,12,10.36616770667748
92,2011,13,15.48347147908907
93,2011,14,12.295817405841177
94,2011,15,17.978596628268775
95,2011,16,16.410487853886423
96,2011,17,11.559543168751855
97,2011,18,17.48215524850565
98,2011,19,17.88810181107447
99,2011,20,10.801228844242075
100,2012,1,13.020428865432866
101,2012,2,14.498078405253525
102,2012,3,15.625053290433689
103,2012,4,15.301226838403414
104,2012,5,14.334079844126752
105,2012,6,14.871939541253365
106,2012,7,9.545259202665223
107,2012,8,11.268384192705295
108,2012,9,10.111562076910529
109,2012,10,18.796560280250876
110,2012,11,14.034904904761376
111,2012,12,14.463244762695215
112,2012,13,7.636145535795523
113,2012,14,17.138170181898502
114,2012,15,21.29938323077582
115,2012,16,17.37243213947484
116,2012,17,12.149283079219673
117,2012,18,4.451983485126251
118,2012,19,9.432138584200956
119,2012,20,27.004636
120,2013,1,10.759525569183738
121,2013,2,8.896939484555116
122,2013,3,16.76164048365159
123,2013,4,18.140864006850464
124,2013,5,15.101230528322235
125,2013,6,12.9006435727554
126,2013,7,10.060402495026473
127,2013,8,12.32327229101455
128,2013,9,13.654524769130875
129,2013,10,16.956609018317938
130,2013,11,10.75853620973441
131,2013,12,11.272257427667036
132,2013,13,11.426351397846314
133,2013,14,12.291745769854325
134,2013,15,13.509218768836245
135,2013,16,19.522990661839966
136,2013,17,8.831030711442459
137,2013,18,12.040732804170181
138,2013,19,12.813970952618542
139,2013,20,3.670617641045426
140,2014,1,14.572677949532462
141,2014,2,16.22879173322195
142,2014,3,15.289253197696496
143,2014,4,20.03001148035362
144,2014,5,12.006574220157079
145,2014,6,16.630995708818304
146,2014,7,13.102462415605782
147,2014,8,15.002011533266908
148,2014,9,17.942100803962795
149,2014,10,17.802880959404334
150,2014,11,17.10609679885056
151,2014,12,8.239323932357278
152,2014,13,18.685691915219675
153,2014,14,17.813684226617166
154,2014,15,11.748513438061186
155,2014,16,14.821557917729228
156,2014,17,16.8573793413059
157,2014,18,13.060770883020622
158,2014,19,15.560148189476735
159,2014,20,21.34457839995567
160,2015,1,12.78326974585608
161,2015,2,16.035667467990738
162,2015,3,14.19955973237155
163,2015,4,11.513565691990417
164,2015,5,11.951824050979175
165,2015,6,13.028718098683221
166,2015,7,9.633719803585842
167,2015,8,11.365299335661007
168,2015,9,8.65734789755743
169,2015,10,17.81407586889371
170,2015,11,16.464739776219616
171,2015,12,13.534287545788153
172,2015,13,16.20345960834443
173,2015,14,13.759614937936506
174,2015,15,9.92597922580968
175,2015,16,14.39367077195437
176,2015,17,13.103152008645356
177,2015,18,17.081001938477083
178,2015,19,9.392322930474776
179,2015,20,22.13542667234378
