,regression_label,regression_score,LOWESS Wide Window,LOWESS Tight Window,OLS
0,-46.0,-9.151026133333334,-15.082346647639936,-3.091082757987643,-6.552834864847776
1,-45.0,9.5570487,-14.342378928766664,-3.614845893117709,-6.368885811012385
2,-38.0,-10.87836476666667,-13.623743657425333,-4.099234733141487,-5.0812424341646505
3,-38.0,-9.332284000000001,-12.843310283100587,-4.613157564296879,-5.0812424341646505
4,-38.0,-3.4054446000000005,-12.570532488794221,-4.795071724252541,-5.0812424341646505
5,-37.0,-8.158686,-12.02309644359886,-5.173558156724814,-4.897293380329261
6,-36.0,-11.132207,-11.66447717461416,-5.436955764840023,-4.7133443264938695
7,-35.0,-15.0062405,-11.422081304139622,-5.6242507628229665,-4.52939527265848
8,-35.0,-11.197931,-11.25483432144448,-5.758562500931454,-4.52939527265848
9,-35.0,-2.766091166666667,-11.198070008441725,-5.805195577835924,-4.52939527265848
10,-35.0,2.89869005,-11.079327723465006,-5.904508094369231,-4.52939527265848
11,-34.0,-10.636189166666666,-10.921005306194605,-6.040558363384454,-4.3454462188230885
12,-34.0,-6.7774076,-10.908846457127911,-6.051166799050248,-4.3454462188230885
13,-34.0,-4.424660333333333,-10.52397053372957,-6.390021128254,-4.3454462188230885
14,-34.0,-3.2345661666666667,-10.427242538249345,-6.471769701622864,-4.3454462188230885
15,-34.0,-2.2681101333333333,-10.367484671896253,-6.520744632679572,-4.3454462188230885
16,-34.0,0.6094939,-10.32957094286996,-6.551065634220233,-4.3454462188230885
17,-34.0,8.193221266666667,-10.1977797060057,-6.6520138076487685,-4.3454462188230885
18,-34.0,9.1610569,-10.184395881191575,-6.661558038850971,-4.3454462188230885
19,-33.0,-7.11997635,-10.181915482278896,-6.663313386421461,-4.161497164987699
20,-33.0,1.2722086499999996,-10.17073181225307,-6.671175070009143,-4.161497164987699
21,-32.0,-3.6123983466666663,-9.98857634442574,-6.786493298632997,-3.977548111152308
22,-32.0,7.320549666666667,-9.974189721062409,-6.794558730945205,-3.977548111152308
23,-31.0,-16.283368499999998,-9.870156218761311,-6.8484890068710875,-3.7935990573169174
24,-31.0,-13.583781333333333,-9.86115234561501,-6.852810004898855,-3.7935990573169174
25,-31.0,-12.51573575,-9.838391478588248,-6.863504284807329,-3.7935990573169174
26,-31.0,-11.61057646,-9.818209981068684,-6.872723455199265,-3.7935990573169174
27,-31.0,-10.460093,-9.76374695326104,-6.897619357343129,-3.7935990573169174
28,-31.0,-9.6918247,-9.76293319817597,-6.8979631136077835,-3.7935990573169174
29,-31.0,-7.240112,-9.667558190164371,-6.936116332292142,-3.7935990573169174
30,-31.0,-7.115880966666666,-9.658341625127052,-6.939607487701501,-3.7935990573169174
31,-31.0,-6.779326875000001,-9.611099829720937,-6.957104874476923,-3.7935990573169174
32,-31.0,3.8448887265000002,-9.58928573476358,-6.965012946288733,-3.7935990573169174
33,-31.0,7.02395175,-9.582919114791784,-6.967307167424473,-3.7935990573169174
34,-31.0,14.11477025,-9.485370699428868,-7.00242101337018,-3.7935990573169174
35,-30.0,-11.32973475,-9.229016051029271,-7.1163257530716395,-3.609650003481527
36,-30.0,-9.1757908,-9.135519223137603,-7.182852858806339,-3.609650003481527
37,-30.0,-5.271994533333333,-9.112733832174374,-7.198101783141785,-3.609650003481527
38,-30.0,-3.5793389362000005,-8.968939482958875,-7.317063259857924,-3.609650003481527
39,-30.0,-3.5732565000000003,-8.962067009580485,-7.3238743656301395,-3.609650003481527
40,-30.0,0.49293145000000016,-8.94828946022407,-7.3378573768579995,-3.609650003481527
41,-30.0,4.237345625,-8.868620411108642,-7.428928405945817,-3.609650003481527
42,-30.0,16.134313333333335,-8.841813392804351,-7.462301746435,-3.609650003481527
43,-29.0,-12.584063,-8.826644764871222,-7.482051337897295,-3.4257009496461364
