,game_id,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,0_regression_score,1_regression_score,2_regression_score,3_regression_score,4_regression_score,regression_label,label,regression_score
0,200909140nwe,-1,1,1,2009,1,13.5,,5.6316323,,,,1.0,1,5.6316323
1,200911150oti,1,1,10,2009,24,7.5,,,,8.007653,17.708682999999997,24.0,1,12.858168
2,200912270atl,1,1,16,2009,28,7.5,,,,12.074948,17.672876000000002,28.0,1,14.873912
3,200912130kan,-1,-1,14,2009,-6,2.5,3.8418596,-6.197355,-1.0924836000000002,,-3.102362,-6.0,0,-2.0974228
4,201001030min,1,1,17,2009,37,8.5,0.20055079999999997,9.759803999999999,11.690286,,5.5398879999999995,37.0,1,7.649845999999999
5,200912210was,-1,-1,15,2009,-33,3.0,8.754311,-6.2098937,,,,-33.0,0,1.2722086499999996
6,200911260den,1,1,12,2009,20,4.5,,-11.8930235,-7.622103699999999,-5.1111746,,20.0,1,-7.622103699999999
7,200909270tam,-1,-1,3,2009,-24,6.0,-10.465726,,,-8.324662,,-24.0,0,-9.395194
8,200911010phi,1,1,8,2009,23,3.0,,5.3303547,9.122308,1.1166334,-4.056433999999999,23.0,1,3.22349405
9,200910040kan,-1,-1,4,2009,-11,9.5,-4.3865620000000005,,,,,-11.0,0,-4.3865620000000005
10,200910180nor,1,1,6,2009,21,3.0,5.178389,-1.4312652,,1.62554,5.336601,21.0,1,3.4019645
11,200909200dal,-1,-1,2,2009,-2,3.0,,3.63435,-2.5582645,0.65743303,1.7730584999999999,-2.0,0,1.215245765
12,200712090nyj,-1,-1,14,2007,-6,3.0,,,,,-13.201137,-6.0,0,-13.201137
14,200710280ram,-1,-1,8,2007,-7,3.0,-5.2687707,-14.370956,,-5.143536,,-7.0,0,-5.2687707
15,200712230cin,1,1,16,2007,5,2.0,,4.5953550000000005,9.953803,,,5.0,1,7.274579000000001
16,200712020crd,1,1,13,2007,6,1.0,-1.5138423,,,2.4216108,,6.0,1,0.4538842499999999
17,200710070nwe,1,1,5,2007,17,15.5,29.930279,,,,,17.0,1,29.930279
18,200711110pit,-1,1,10,2007,3,9.0,,,,,18.590485,3.0,1,18.590485
19,200711180rav,-1,-1,11,2007,-3,1.0,-1.8763319999999999,,0.031532526,5.3502849999999995,,-3.0,0,0.031532526
20,200809280nyj,1,1,4,2008,21,1.0,3.0507567000000004,,,0.8060967,-2.6691172,21.0,1,0.8060967
21,200811020ram,-1,-1,9,2008,-21,3.0,,-12.083592,,,-4.4447064,-21.0,0,-8.2641492
22,200811160sea,-1,-1,11,2008,-6,3.0,,,,-1.9100125,-2.6246336,-6.0,0,-2.26732305
23,200809210was,1,1,3,2008,7,3.0,,5.7571054,,-1.9659088,,7.0,1,1.8955983
24,200810260car,-1,1,8,2008,4,4.5,,1.8642330000000003,,9.2606735,,4.0,1,5.56245325
25,200901100car,-1,-1,19,2008,-20,10.0,16.321148,12.878673,,,8.832716,-20.0,0,12.878673
26,200812210nwe,1,1,16,2008,40,8.0,11.9507675,10.10873,5.286245,9.214751,,40.0,1,9.6617405
27,200811270phi,1,1,13,2008,28,3.0,-0.579442,9.120666499999999,10.482247000000001,2.6181377999999995,,28.0,1,5.869402149999999
28,200809070sfo,-1,-1,1,2008,-10,2.5,-7.3803095999999995,,-6.523715,-3.659996,0.51872444,-10.0,0,-5.0918555
29,200810260nyj,-1,1,8,2008,4,13.0,6.986167999999999,,,,,4.0,1,6.986167999999999
30,200811090sdg,-1,1,10,2008,1,15.0,,,20.414295000000003,23.389109,10.059067,1.0,1,20.414295000000003
31,200812280cin,1,1,17,2008,10,1.5,3.0707011000000004,,,,-6.539097,10.0,1,-1.7341979499999998
32,200810050car,1,1,5,2008,34,10.0,,,7.722250999999999,,5.3115287,34.0,1,6.51688985
33,200812070den,-1,1,14,2008,7,9.0,,,-9.9256525,-2.1913153999999997,-2.2756602999999997,7.0,1,-2.2756602999999997
34,200809070nwe,-1,1,1,2008,7,16.0,,22.557709,,14.816076999999998,,7.0,1,18.686892999999998
35,200809210atl,1,1,3,2008,24,6.0,,,15.340967000000001,15.863025,1.3546504,24.0,1,15.340967000000001
36,200811300rai,-1,-1,13,2008,-7,3.0,3.2333107000000005,-2.1548474,,,,-7.0,0,0.5392316500000003
37,200811090nyj,1,1,10,2008,44,9.5,,7.3800664000000005,,,,44.0,1,7.3800664000000005
38,200809210sea,1,1,3,2008,24,8.0,2.6559397999999996,,,8.507643,11.525976,24.0,1,8.507643
39,200810120was,-1,-1,6,2008,-2,12.0,18.738804000000002,1.4324162,,,,-2.0,0,10.0856101
40,200812070crd,1,1,14,2008,24,14.5,23.733313,14.864054999999999,4.684403,15.375992000000002,9.524402,24.0,1,14.864054999999999
41,200809070phi,1,1,1,2008,35,7.5,,14.924947,3.3941102,6.9286966,,35.0,1,6.9286966
42,200812280atl,-1,1,17,2008,4,14.0,,17.946035000000002,,,,4.0,1,17.946035000000002
43,200811160sfo,1,1,11,2008,19,7.0,2.0456822,9.218128,,9.178421,,19.0,1,9.178421
44,200910110car,-1,1,5,2009,3,5.0,-0.84413064,-2.063295,,7.903289999999999,-2.3442988,3.0,1,-1.45371282
45,200909270det,1,1,3,2009,5,6.5,,,-0.48490185,-6.703808,,5.0,1,-3.594354925
46,200911290phi,-1,1,12,2009,3,10.0,,,6.7160473,,10.623724000000001,3.0,1,8.669885650000001
47,200911080atl,1,1,9,2009,14,8.5,8.978617,,,,2.7465131,14.0,1,5.86256505
48,200912130rai,-1,-1,14,2009,-21,2.0,,,-2.3919639999999998,,0.41834116,-21.0,0,-0.9868114199999999
49,200911220dal,-1,1,11,2009,1,10.5,13.024572000000001,16.156982,,10.149749,,1.0,1,13.024572000000001
50,200911220nyg,-1,1,11,2009,3,7.0,,12.682532,,,,3.0,1,12.682532
51,200912200nyj,-1,-1,15,2009,-3,5.0,,10.88683,-6.303626,,,-3.0,0,2.2916019999999997
52,200911150car,1,1,10,2009,9,1.0,,-2.9091513,,1.6205637,,9.0,1,-0.6442938
53,200909270nwe,1,1,3,2009,16,4.5,8.125972,23.723873,,5.3080754,,16.0,1,8.125972
54,201001030tam,-1,-1,17,2009,-10,3.0,,-1.9781353,-15.137932999999999,-0.9845870999999999,,-10.0,0,-1.9781353
55,200911020nor,-1,1,8,2009,8,11.0,,12.974978,,12.251019,14.240658999999999,8.0,1,12.974978
56,200910110sfo,-1,-1,5,2009,-35,0.0,4.747317,1.0500631,,,,-35.0,0,2.89869005
57,200910250dal,1,1,7,2009,16,5.0,,6.566615,8.539019,7.861993300000001,14.913248000000001,16.0,1,8.20050615
58,200912130nyg,-1,-1,14,2009,-7,1.0,-2.0678966,,,,5.9646163,-7.0,0,1.9483598500000001
