Bin,Lost,Won
0,10,1
1,14,8
2,16,6
3,16,7
4,16,6
5,15,7
6,17,5
7,16,7
8,14,8
9,12,10
10,14,9
11,13,9
12,16,6
13,16,6
14,14,9
15,10,12
16,12,10
17,16,7
18,13,9
19,15,7
20,14,8
21,10,13
22,11,11
23,12,10
24,12,11
25,13,9
26,14,8
27,14,8
28,8,15
29,9,13
30,14,8
31,13,10
32,11,11
33,11,11
34,10,13
35,10,12
36,10,12
37,7,15
38,11,12
39,12,10
40,13,9
41,10,13
42,14,8
43,7,15
44,14,8
45,8,15
46,9,13
47,6,16
48,7,16
49,11,11
50,14,8
51,8,14
52,12,11
53,6,16
54,12,10
55,9,14
56,11,11
57,6,16
58,7,15
59,8,15
60,8,14
61,11,11
62,11,12
63,11,11
64,8,14
65,12,10
66,9,14
67,11,11
68,3,19
69,7,16
70,9,13
71,7,15
72,5,18
73,6,16
74,7,15
75,10,12
76,6,17
77,4,18
78,6,16
79,7,16
80,4,18
81,5,17
82,9,13
83,6,17
84,8,14
85,8,14
86,9,14
87,4,18
88,5,17
89,4,18
90,6,17
91,5,17
92,5,17
93,6,17
94,3,19
95,4,18
96,3,19
97,3,20
98,3,19
99,2,20
100,1,11
