Percentile,Lost,Won
0,11,1
1,14,8
2,16,6
3,15,8
4,17,5
5,15,7
6,16,6
7,16,7
8,14,8
9,13,9
10,14,9
11,13,9
12,15,7
13,17,5
14,14,9
15,10,12
16,12,10
17,16,7
18,12,10
19,15,7
20,15,7
21,9,14
22,12,10
23,12,10
24,11,12
25,14,8
26,14,8
27,14,8
28,8,15
29,8,14
30,15,7
31,13,10
32,10,12
33,11,11
34,10,13
35,10,12
36,10,12
37,8,14
38,10,13
39,12,10
40,14,8
41,10,13
42,13,9
43,8,14
44,13,9
45,8,15
46,9,13
47,6,16
48,7,16
49,11,11
50,15,7
51,8,14
52,12,11
53,6,16
54,12,10
55,8,15
56,11,11
57,6,16
58,7,15
59,8,15
60,9,13
61,10,12
62,12,11
63,10,12
64,9,13
65,11,11
66,9,14
67,11,11
68,3,19
69,8,15
70,9,13
71,6,16
72,5,18
73,6,16
74,7,15
75,11,11
76,5,18
77,4,18
78,6,16
79,8,15
80,3,19
81,5,17
82,9,13
83,7,16
84,8,14
85,8,14
86,8,15
87,5,17
88,4,18
89,4,18
90,6,17
91,5,17
92,6,16
93,6,17
94,2,20
95,4,18
96,3,19
97,3,20
98,3,19
99,2,20
100,1,10
