,regression_label,regression_score,LOWESS Wide Window,LOWESS Tight Window,OLS
0,-46.0,-8.813168,-16.149952748369074,-4.6118475726845505,-6.481348647504045
1,-45.0,9.5570487,-13.564031286436933,-6.25459973531966,-6.298739510960201
2,-38.0,-11.410438000000001,-13.515383349599656,-6.28083420094112,-5.02047555515329
3,-38.0,-9.332284000000001,-12.867811405898744,-6.619638299677896,-5.02047555515329
4,-38.0,-3.4054446000000005,-12.074241861325469,-7.02815841794612,-5.02047555515329
5,-37.0,-8.158686,-11.571538944454643,-7.280084935954033,-4.837866418609445
6,-36.0,-11.547518499999999,-11.547467182575536,-7.291164853658621,-4.655257282065601
7,-35.0,-15.0062405,-11.344729983347733,-7.378793141247956,-4.472648145521756
8,-35.0,-11.197931,-11.00858352785886,-7.51239054770856,-4.472648145521756
9,-35.0,-1.2208674,-10.782291582428291,-7.612288918945384,-4.472648145521756
10,-35.0,2.89869005,-10.626556482818929,-7.685792100161085,-4.472648145521756
11,-34.0,-18.744362,-10.57376971267642,-7.7112065335312705,-4.290039008977912
12,-34.0,-6.7774076,-10.463457697013846,-7.764273692410692,-4.290039008977912
13,-34.0,-6.7222075,-10.316594294258604,-7.8322195443892,-4.290039008977912
14,-34.0,-4.261867,-10.305325257750642,-7.837171324315513,-4.290039008977912
15,-34.0,-2.0533031999999998,-10.261666102830091,-7.855835496204056,-4.290039008977912
16,-34.0,0.6094939,-10.11129880613636,-7.911177396862921,-4.290039008977912
17,-34.0,5.91873,-10.009661950818245,-7.937028493427725,-4.290039008977912
18,-34.0,7.7569337,-9.85989660272121,-7.951172019353079,-4.290039008977912
19,-33.0,-7.11997635,-9.76973398133343,-7.9442331622383895,-4.107429872434067
20,-33.0,1.2722086499999996,-9.653524983642136,-7.922183983673013,-4.107429872434067
21,-32.0,-2.418478,-9.648132185767919,-7.920848975371391,-3.924820735890223
22,-32.0,9.798283999999999,-9.63578592204476,-7.917821409464747,-3.924820735890223
23,-31.0,-16.283368499999998,-9.633497857694321,-7.9172338176290085,-3.742211599346379
24,-31.0,-15.673254,-9.629218006409342,-7.916126489120003,-3.742211599346379
25,-31.0,-13.3607765,-9.556930162217798,-7.895832775346588,-3.742211599346379
26,-31.0,-10.390121,-9.378509815105858,-7.83542749001592,-3.742211599346379
27,-31.0,-9.880253,-9.35740749425796,-7.827818275555258,-3.742211599346379
28,-31.0,-8.030327999999999,-9.34856651000289,-7.824640531100677,-3.742211599346379
29,-31.0,-7.240112,-9.337649592617817,-7.820733397765327,-3.742211599346379
30,-31.0,-7.186497,-9.298036285601322,-7.806840003844925,-3.742211599346379
31,-31.0,-6.6973863,-9.247787754884515,-7.790807177609584,-3.742211599346379
32,-31.0,4.863201999999999,-9.24703689199276,-7.790571198610921,-3.742211599346379
33,-31.0,7.02395175,-9.111879157287621,-7.754213371468547,-3.742211599346379
34,-31.0,14.11477025,-9.069621059146563,-7.745578363907312,-3.742211599346379
35,-30.0,-11.609648,-9.04589415866924,-7.741312078569756,-3.559602462802534
36,-30.0,-6.9384483999999995,-8.883327561828812,-7.719976810147902,-3.559602462802534
37,-30.0,-4.5386489999999995,-8.852570924518174,-7.718525590814988,-3.559602462802534
38,-30.0,-3.5732565000000003,-8.788914334042305,-7.7082869112553585,-3.559602462802534
39,-30.0,-1.9154408,-8.753315805334397,-7.701548643722449,-3.559602462802534
40,-30.0,0.49293145000000016,-8.6804101416957,-7.686556622571644,-3.559602462802534
41,-30.0,3.0734274499999996,-8.677005459774605,-7.685849663121358,-3.559602462802534
42,-30.0,13.814985,-8.667153148997047,-7.683815788098325,-3.559602462802534
43,-29.0,-12.584063,-8.6529093970351,-7.68092168657074,-3.37699332625869
44,-29.0,-9.819322,-8.578130536990148,-7.676987128356285,-3.37699332625869
45,-29.0,-9.2065135,-8.539661768527685,-7.6729101421660895,-3.37699332625869
46,-29.0,-6.7683024000000005,-8.529998904376663,-7.672010995221824,-3.37699332625869
47,-29.0,0.04792413,-8.51142573733191,-7.67063287811281,-3.37699332625869
48,-29.0,1.1157739,-8.505015738861134,-7.670265120356874,-3.37699332625869
49,-29.0,5.690701,-8.492162233014664,-7.669694756881962,-3.37699332625869
50,-28.0,-14.625765,-8.480700330002907,-7.669373201369967,-3.194384189714845
51,-28.0,-14.214573999999999,-8.400818846497167,-7.67556060573683,-3.194384189714845
52,-28.0,-12.638577,-8.392682207197979,-7.676315629404858,-3.194384189714845
53,-28.0,-9.142281,-8.378488459035555,-7.677901479412908,-3.194384189714845
54,-28.0,-7.57949215,-8.366413928276879,-7.679530319879404,-3.194384189714845
55,-28.0,-4.5674662999999995,-8.362422862092732,-7.680127121715886,-3.194384189714845
56,-28.0,-4.141236,-8.30586832699229,-7.691889048729237,-3.194384189714845
57,-28.0,-4.137923000000001,-8.229267807972839,-7.718698795944397,-3.194384189714845
58,-28.0,-1.8407073,-8.191967823896709,-7.736207346179283,-3.194384189714845
59,-28.0,-0.59108233,-8.139105950897575,-7.767432471620612,-3.194384189714845
60,-28.0,2.0306497,-8.03518539170455,-7.846009868064224,-3.194384189714845
61,-28.0,3.0944822,-8.023433324309307,-7.8564121903062585,-3.194384189714845
62,-28.0,3.82140475,-7.964081077186569,-7.909809273278906,-3.194384189714845
63,-28.0,6.245611200000001,-7.940404181262466,-7.930320900124055,-3.194384189714845
64,-28.0,11.811322,-7.894652443421706,-7.98030217613537,-3.194384189714845
65,-27.0,-5.9849234000000004,-7.822060710915413,-8.062777958734992,-3.011775053171001
66,-27.0,-5.5567493,-7.806368368053566,-8.08116874508729,-3.011775053171001
67,-27.0,-3.59449535,-7.803748696125891,-8.084242101990588,-3.011775053171001
68,-27.0,-3.1625662,-7.74281204231799,-8.145847450547187,-3.011775053171001
69,-27.0,-2.8267925,-7.709153496543217,-8.18469029974474,-3.011775053171001
70,-27.0,-2.68136127,-7.702444458066279,-8.19236318393531,-3.011775053171001
71,-27.0,0.9554471999999999,-7.6937079170980835,-8.194518661597897,-3.011775053171001
72,-27.0,1.0037385,-7.682008761343539,-8.206343751529836,-3.011775053171001
73,-27.0,1.3512446000000002,-7.6538749688437,-8.237314594147971,-3.011775053171001
74,-27.0,2.36267685,-7.616985706751873,-8.275971191353305,-3.011775053171001
75,-27.0,8.1707322,-7.613099257556676,-8.279871734291618,-3.011775053171001
76,-26.0,-4.6605099999999995,-7.607992618383262,-8.28100146346384,-2.829165916627156
77,-26.0,-4.185327399999999,-7.562414627581638,-8.321406706981378,-2.829165916627156
78,-26.0,0.6603142499999999,-7.561563346058209,-8.322160690953709,-2.829165916627156
79,-26.0,2.3434415,-7.53420840889698,-8.328470827608609,-2.829165916627156
80,-25.0,-8.9314665,-7.520137509769792,-8.340158772827548,-2.646556780083312
81,-25.0,-8.097405349999999,-7.515930284978594,-8.34360407417198,-2.646556780083312
82,-25.0,-6.261848400000001,-7.50439712296875,-8.352954610231468,-2.646556780083312
83,-25.0,-4.0937753,-7.488451297295673,-8.365733955948933,-2.646556780083312
84,-25.0,-3.6093597,-7.473815908575889,-8.37224774134483,-2.646556780083312
85,-25.0,0.008565990000000023,-7.473014178187872,-8.371952334623934,-2.646556780083312
86,-25.0,3.1902542,-7.455751876205105,-8.368486368984728,-2.646556780083312
87,-25.0,3.3003782999999998,-7.41032889353664,-8.365038824770153,-2.646556780083312
88,-25.0,3.53473442,-7.347537488798139,-8.410901147084857,-2.646556780083312
89,-25.0,4.76400925,-7.325045437767682,-8.42821726256856,-2.646556780083312
90,-24.0,-12.063161000000001,-7.310823887597604,-8.439258315080648,-2.463947643539467
91,-24.0,-11.844411000000001,-7.261261366065689,-8.46772388534209,-2.463947643539467
92,-24.0,-11.289894,-7.259104089691062,-8.465816418580351,-2.463947643539467
93,-24.0,-10.024707000000001,-7.250037161716745,-8.460080224755504,-2.463947643539467
94,-24.0,-9.524682,-7.166780185312618,-8.465642559500722,-2.463947643539467
95,-24.0,-9.395194,-7.146857535751905,-8.453987452749471,-2.463947643539467
96,-24.0,-8.8530738,-7.1303344102614705,-8.462151426952671,-2.463947643539467
97,-24.0,-7.810181599999999,-7.095316218594186,-8.486417256402802,-2.463947643539467
98,-24.0,-7.2734632,-7.032812816642278,-8.490042224171495,-2.463947643539467
99,-24.0,-6.944274,-7.0027682395330775,-8.476802451499973,-2.463947643539467
100,-24.0,-6.607528,-7.001015755450221,-8.473970059929243,-2.463947643539467
101,-24.0,-5.4166274,-6.9999127276041,-8.47218347168028,-2.463947643539467
102,-24.0,-2.8138661999999997,-6.945619481386319,-8.494740478689394,-2.463947643539467
103,-24.0,-2.7950882999999997,-6.936461371554557,-8.499448882603112,-2.463947643539467
104,-24.0,-2.5209175000000004,-6.93579616450995,-8.499782030592852,-2.463947643539467
105,-24.0,-1.8882749,-6.90269037895495,-8.50390996314003,-2.463947643539467
106,-24.0,-0.5319835999999999,-6.8928140976803185,-8.507363231935365,-2.463947643539467
107,-24.0,-0.016828656,-6.79974542547619,-8.480559141913192,-2.463947643539467
108,-24.0,0.5144633999999999,-6.766758271879937,-8.442757574621167,-2.463947643539467
109,-24.0,0.8965898999999999,-6.7475862217986124,-8.419776916396371,-2.463947643539467
110,-24.0,1.9889861,-6.730039870482584,-8.396798287341989,-2.463947643539467
111,-24.0,2.6059046,-6.720279560128457,-8.387876254534024,-2.463947643539467
112,-24.0,3.2518732999999997,-6.715430480085429,-8.38309923133639,-2.463947643539467
113,-24.0,3.4663131000000003,-6.688448213648436,-8.336119692311238,-2.463947643539467
114,-24.0,3.6475904000000003,-6.648911865226727,-8.27714551943271,-2.463947643539467
115,-24.0,9.831854,-6.628297605331376,-8.23764353132399,-2.463947643539467
116,-24.0,12.127867,-6.597237682149677,-8.176299303043505,-2.463947643539467
117,-23.0,-9.709147,-6.590432909304578,-8.164768602819649,-2.281338506995623
118,-23.0,-9.5160675,-6.583143990815832,-8.152146687979036,-2.281338506995623
119,-23.0,-8.580914499999999,-6.549026917547747,-8.078968685755187,-2.281338506995623
120,-23.0,-7.743730499999999,-6.542354080028212,-8.060416952552321,-2.281338506995623
121,-23.0,-7.2354698,-6.481865246352856,-7.9259200410724935,-2.281338506995623
122,-23.0,-6.203247,-6.47473680165529,-7.909582245973152,-2.281338506995623
123,-23.0,-5.02668875,-6.474054332731337,-7.908242778283588,-2.281338506995623
124,-23.0,-4.8728620000000005,-6.465586516791226,-7.891602869092003,-2.281338506995623
