game_id,home_field___h_home__close_wr_ytd,travel___v_dist_from_home,weather___humidity_pct,team_history___v_close_wr_past_5_games,team_history___h_ovr_wr_past_3_seasons,weather___is_grass,travel___v_home_body_time,rankings___h__s_t_rank,home_field___h_consecutive_home,travel___v_tz_change_last_game,travel___v_travel_from_last_game_decay,travel___h_body_clock_from_last_wk,travel___h_tz_change_last_10_days,team_history___v_close_wr_past_3_seasons,home_field___v_is_home,home_field___v_consecutive_visitor,line___close_ou,line___h_pfr_line,matchup___h_wr_past_3_seasons,home_field___h_home__pfr_wr_last_8_games,team_history___h_close_wr_past_2_seasons,rankings___h__dave_or_wtddvoa,team_history___h_open_wr_past_5_games,team_history___h_pfr_wr_past_5_games,home_field___v_visitor__open_wr_ytd,team_history___v_close_wr_ytd,travel___v_travel_from_last_10_days,time_date___day_of_week,time_date___is_superbowl,rankings___v__off_rank,team_history___v_ovr_wr_ytd,team_history___h_open_wr_past_3_seasons,home_field___v_visitor__close_wr_ytd,time_date___is_sunday,rankings___v__s_t_rank,team_history___h_close_wr_ytd,team_history___v_open_wr_ytd,rankings___v__offensedvoa,weather___temperature,line___v_ml,team_history___v_pfr_wr_past_2_seasons,line___pfr_ou,time_date___game_time_eastern,rankings___v__defensedvoa,travel___h_travel_from_last_10_days,matchup___is_same_conf,rankings___h__def_rank,rankings___v__def_rank,team_history___h_close_wr_past_5_games,team_history___v_pfr_wr_ytd,line___open_ou,team_history___v_pfr_wr_past_3_seasons,team_history___v_open_wr_past_5_games,rankings___h__totaldvoa,weather___is_dome,travel___h_same_stadium_last_game,travel___v_travel_from_last_game,home_field___h_home__ovr_wr_last_4_games,home_field___v_visitor__close_wr_last_8_games,weather___wind_chill,travel___h_days_since_last_game,home_field___h_is_home,travel___v_body_clock_from_last_wk,home_field___h_home__open_wr_last_8_games,team_history___v_close_wr_past_2_seasons,line___h_open_line,home_field___h_home__close_wr_last_8_games,team_history___h_ovr_wr_past_5_games,team_history___h_open_wr_ytd,rankings___h__defensedvoa,team_history___v_ovr_wr_past_2_seasons,team_history___v_ovr_wr_past_5_games,team_history___v_open_wr_past_2_seasons,home_field___v_visitor__ovr_wr_last_8_games,matchup___h_wr_past_5_games,weather___wind_mph,time_date___week_id,rankings___v__s_t_dvoa,time_date___is_playoffs,time_date___game_time_local,rankings___v__dave_or_wtddvoa,team_history___v_pfr_wr_past_5_games,home_field___h_home__close_wr_last_4_games,team_history___v_open_wr_past_3_seasons,team_history___h_ovr_wr_ytd,home_field___v_visitor__close_wr_last_4_games,travel___v_same_stadium_last_game,home_field___h_home__open_wr_last_4_games,matchup___h_wr_ytd,rankings___v__estim_winrate,home_field___h_home__ovr_wr_ytd,home_field___h_home__pfr_wr_last_4_games,travel___h_travel_from_last_game_decay,travel___h_tz_change_last_game,team_history___h_open_wr_past_2_seasons,travel___h_travel_from_last_game,travel___v_tz_change_last_10_days,rankings___h__s_t_dvoa,travel___v_days_since_last_game,matchup___h_wr_past_2_seasons,team_history___v_ovr_wr_past_3_seasons,home_field___v_visitor__ovr_wr_ytd,home_field___v_visitor__pfr_wr_ytd,home_field___v_visitor__open_wr_last_4_games,home_field___v_visitor__open_wr_last_8_games,line___h_ml,team_history___h_close_wr_past_3_seasons,home_field___h_home__pfr_wr_ytd,rankings___v__totaldvoa,rankings___h__off_rank,home_field___h_home__open_wr_ytd,home_field___h_home__ovr_wr_last_8_games,home_field___v_visitor__pfr_wr_last_8_games,rankings___h__estim_winrate,home_field___v_visitor__pfr_wr_last_4_games,rankings___h__offensedvoa,team_history___h_pfr_wr_past_2_seasons,team_history___h_ovr_wr_past_2_seasons,matchup___is_same_division,team_history___h_pfr_wr_ytd,team_history___h_pfr_wr_past_3_seasons,line___h_close_line,home_field___v_visitor__ovr_wr_last_4_games,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,regression_label,dataset,fold,regression_score
201309080clt,0.5,36.09267589389172,0.0,0.4,0.3939393939393939,0,10.0,16.484069514844315,1,0.0,0.0,13.0,0.0,0.46875,0.0,1,45.5,-11.5,0.5,0.5,0.6470588235294118,0.5583272990586526,0.4,0.5,0.5,0.5,0.0,6.0,0.0,16.07313540912382,0.5,0.4848484848484849,0.5,1.0,16.32440260680666,0.5,0.5,1.7395365677045609,68.0,420,0.3125,45.0,13.0,0.32541636495293264,0.0,1.0,16.55503258508327,16.03874004344678,0.6,0.5,49.0,0.46875,0.4,0.07465604634322998,1,0,0.0,0.5,0.5,68.0,300.0,1.0,13.0,0.5,0.3125,-7.0,0.5,0.6,0.5,1.1731354091238233,0.25,0.2,0.3125,0.5,1.0,0.0,1.0,0.08030412744388128,0.0,13.0,1.3540188269370024,0.4,0.5,0.421875,0.5,0.5,0,0.5,0.5,0.5294328528952108,0.5,0.5,0.0,0.0,0.5882352941176471,0.0,0.0,-0.05716871832005794,300.0,0.5,0.375,0.5,0.5,0.5,0.5,-550,0.5151515151515151,0.5,1.493229543808834,16.30955829109341,0.5,0.5,0.5,0.5190258251586375,0.5,1.3056480811006512,0.6176470588235294,0.6470588235294118,0.0,0.5,0.5,-11.5,0.5,-1,1,1,2013,4,11.5,4.0,training,0,10.521595
201412210chi,0.35714285714285715,4.596032875165277,74.0,0.4,0.5,1,13.0,24.0,3,-1.0,4.596032875165277,12.0,0.0,0.4239130434782609,0.0,1,44.5,10.0,0.4,0.2857142857142857,0.31666666666666665,-22.9,0.4,0.4,0.5384615384615384,0.5357142857142857,4.596032875165277,6.0,0.0,17.0,0.7142857142857143,0.3804347826086957,0.5769230769230769,1.0,30.0,0.35714285714285715,0.5,-3.9,36.0,-430,0.43333333333333335,44.5,13.0,-15.6,0.0,1.0,29.0,2.0,0.4,0.5,46.0,0.4130434782608696,0.4,-13.9,1,1,4.596032875165277,0.5,0.4,27.0,6.0,1.0,13.0,0.2857142857142857,0.45,6.5,0.2857142857142857,0.4,0.35714285714285715,11.7,0.5666666666666667,0.6,0.43333333333333335,0.4,0.4,13.0,16.0,-4.8,0.0,12.0,4.3,0.4,0.5,0.4130434782608696,0.35714285714285715,0.5,0,0.5,0.0,0.5714285714285714,0.35714285714285715,0.5,0.0,0.0,0.35,0.0,-1.0,-3.3,7.0,0.0,0.4565217391304348,0.6923076923076923,0.5384615384615384,0.5,0.4,350,0.35869565217391297,0.35714285714285715,6.9,14.0,0.35714285714285715,0.2857142857142857,0.4,0.4142857142857143,0.5,1.1,0.31666666666666665,0.43333333333333335,1.0,0.35714285714285715,0.35869565217391297,10.0,0.5,1,-1,16,2014,-6,10.0,-6.0,training,0,0.38526845
200811160sfo,0.3333333333333333,32.2106175001179,50.0,0.5,0.28,1,15.0,2.0,1,-3.0,48.40844234243652,14.0,-1.0,0.3,0.0,2,43.5,-7.0,0.5,0.2,0.32,-14.1,0.4,0.2,0.2777777777777778,0.2777777777777778,48.40844234243652,6.0,0.0,31.0,0.2222222222222222,0.42,0.2777777777777778,1.0,17.0,0.3333333333333333,0.2777777777777778,-21.9,75.0,240,0.32,43.5,16.0,26.8,10.954953051665726,1.0,14.0,31.0,0.2,0.3333333333333333,44.5,0.32,0.5,-14.2,1,0,48.40844234243652,0.25,0.3,75.0,6.0,1.0,16.0,0.2,0.3,-7.0,0.2,0.0,0.4444444444444444,1.8,0.2,0.4,0.24,0.2,0.5,5.0,11.0,0.7,0.0,13.0,-46.3,0.6,0.25,0.24,0.2222222222222222,0.375,0,0.25,0.5,0.13333333333333333,0.2222222222222222,0.25,10.954953051665726,-1.0,0.42,10.954953051665726,-3.0,6.3,7.0,0.5,0.2,0.2222222222222222,0.3333333333333333,0.375,0.3,-280,0.32,0.3333333333333333,-48.0,29.0,0.4444444444444444,0.2,0.4,0.37777777777777777,0.5,-18.6,0.34,0.28,1.0,0.3333333333333333,0.34,-7.0,0.25,1,1,11,2008,19,7.0,19.0,training,0,-1.7222927
201311280det,0.4545454545454545,5.462461376311965,0.0,0.2,0.4545454545454545,0,24.0,26.0,2,1.0,5.462461376311965,25.0,0.0,0.5760869565217391,0.0,1,49.5,-6.0,0.0,0.4,0.4074074074074074,-1.3,0.0,0.2,0.3636363636363637,0.4090909090909091,5.462461376311965,3.0,0.0,5.0,0.5,0.4090909090909091,0.4090909090909091,0.0,23.0,0.4545454545454545,0.3636363636363637,18.2,68.0,235,0.5,48.5,25.0,13.6,0.0,1.0,20.0,29.0,0.2,0.4090909090909091,49.5,0.5543478260869565,0.2,-0.9,1,1,5.462461376311965,0.5,0.3,68.0,4.0,1.0,24.0,0.4,0.5344827586206896,-4.0,0.4,0.4,0.3636363636363637,3.6,0.603448275862069,0.3,0.4827586206896552,0.4,0.0,0.0,13.0,-1.9,0.0,25.0,1.3,0.2,0.25,0.5434782608695652,0.5454545454545454,0.375,0,0.25,0.0,0.5,0.5454545454545454,0.25,0.0,0.0,0.3703703703703704,0.0,1.0,-2.5,4.0,0.0,0.7065217391304348,0.5,0.4090909090909091,0.25,0.2,-275,0.4204545454545455,0.4545454545454545,2.7,13.0,0.3636363636363637,0.6,0.3,0.490909090909091,0.375,5.2,0.4074074074074074,0.3703703703703704,1.0,0.4545454545454545,0.4204545454545455,-6.5,0.5,1,1,13,2013,30,6.5,30.0,training,0,0.77072114
201312150jax,0.4166666666666667,12.772258581085017,0.0,0.2,0.24444444444444444,1,13.0,11.0,2,0.0,2.502608110052396,13.0,0.0,0.43333333333333335,0.0,2,43.0,4.0,0.0,0.2,0.3965517241379311,-35.6,0.8,0.8,0.4230769230769231,0.4615384615384616,2.502608110052396,6.0,0.0,25.0,0.3076923076923077,0.4,0.4615384615384616,1.0,28.0,0.38461538461538464,0.4230769230769231,-13.3,60.0,-200,0.4482758620689655,43.0,13.0,-11.8,0.0,1.0,28.0,5.0,0.8,0.4615384615384616,44.0,0.43333333333333335,0.2,-43.2,1,1,2.502608110052396,0.25,0.16666666666666666,60.0,10.0,1.0,13.0,0.2,0.4482758620689655,2.0,0.2,0.8,0.38461538461538464,11.8,0.3448275862068966,0.2,0.4310344827586207,0.16666666666666666,0.6,20.0,15.0,-5.4,0.0,13.0,-12.3,0.2,0.25,0.4222222222222222,0.3076923076923077,0.25,0,0.25,0.5,0.4384615384615385,0.3333333333333333,0.25,0.0,0.0,0.4137931034482759,0.0,0.0,2.4,7.0,0.0,0.3555555555555556,0.3076923076923077,0.4615384615384616,0.25,0.16666666666666666,170,0.4222222222222222,0.4166666666666667,-6.9,32.0,0.4166666666666667,0.2,0.16666666666666666,0.19230769230769232,0.25,-33.9,0.4137931034482759,0.20689655172413796,0.0,0.38461538461538464,0.43333333333333335,4.0,0.25,-1,-1,15,2013,-7,4.0,-7.0,training,0,-5.3100486
201511010chi,0.5,6.41468289005778,42.0,1.0,0.3947368421052632,1,12.0,25.0,1,-1.0,4.596032875165277,13.0,0.0,0.631578947368421,0.0,2,44.0,1.0,0.5,0.3333333333333333,0.4545454545454545,-19.8,0.5,0.5,0.8333333333333334,0.8333333333333334,4.596032875165277,6.0,0.0,28.0,0.6666666666666666,0.3947368421052632,0.8333333333333334,1.0,15.0,0.5,0.8333333333333334,-14.7,62.0,-130,0.6818181818181818,43.0,13.0,6.2,0.0,1.0,29.0,24.0,0.6,0.8333333333333334,41.5,0.631578947368421,1.0,-23.5,1,0,4.596032875165277,0.3333333333333333,0.6666666666666666,62.0,14.0,1.0,13.0,0.3333333333333333,0.6818181818181818,2.5,0.3333333333333333,0.4,0.4166666666666667,13.1,0.5,0.8,0.6818181818181818,0.3333333333333333,0.4,11.0,8.0,0.4,0.0,12.0,-15.9,1.0,0.3333333333333333,0.6052631578947368,0.3333333333333333,0.6666666666666666,0,0.3333333333333333,0.5,0.43333333333333335,0.3333333333333333,0.3333333333333333,0.4456863452048042,-1.0,0.4318181818181818,4.596032875165277,-1.0,-4.0,7.0,0.5,0.4342105263157895,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666,110,0.3815789473684211,0.4166666666666667,-20.4,22.0,0.4166666666666667,0.3333333333333333,0.6666666666666666,0.31666666666666665,0.6666666666666666,-6.4,0.4318181818181818,0.3181818181818182,1.0,0.4166666666666667,0.3684210526315789,1.5,0.3333333333333333,-1,-1,8,2015,-3,1.5,-3.0,training,0,-4.8982406
200810120sfo,0.4,47.269240121462715,24.0,0.6,0.3333333333333333,1,16.0,9.0,2,-3.0,47.269240121462715,13.0,0.0,0.5238095238095238,0.0,1,41.5,5.0,0.5,0.3333333333333333,0.3333333333333333,-10.6,0.4,0.4,0.6,0.6,47.269240121462715,6.0,0.0,9.0,0.4,0.4047619047619048,0.6,1.0,11.0,0.4,0.6,13.3,64.0,-230,0.5238095238095238,41.5,16.0,-16.1,0.0,1.0,11.0,5.0,0.4,0.6,44.0,0.5238095238095238,0.6,-4.3,1,1,47.269240121462715,0.3333333333333333,0.5,64.0,7.0,1.0,16.0,0.3333333333333333,0.5238095238095238,4.5,0.3333333333333333,0.4,0.4,-1.6,0.4761904761904762,0.4,0.5238095238095238,0.0,0.5,13.0,6.0,3.2,0.0,13.0,32.8,0.6,0.3333333333333333,0.5238095238095238,0.4,0.5,0,0.3333333333333333,0.5,0.7,0.4,0.3333333333333333,0.0,0.0,0.4047619047619048,0.0,-3.0,3.9,7.0,0.5,0.4761904761904762,0.4,0.6,0.5,0.5,190,0.3333333333333333,0.4,32.7,26.0,0.4,0.3333333333333333,0.5,0.4400000000000001,0.5,-9.7,0.35714285714285715,0.3333333333333333,0.0,0.4,0.35714285714285715,5.0,0.0,-1,-1,6,2008,-14,5.0,-14.0,training,0,-9.632856
201510250car,0.8,7.360572917810138,80.0,0.6,0.6375,1,21.0,30.0,1,0.0,7.360572917810138,18.0,3.0,0.5128205128205128,0.0,1,46.0,-3.0,0.0,0.5,0.5652173913043478,7.1,1.0,0.8,0.5,0.5,7.360572917810138,6.0,0.0,20.0,0.5,0.575,0.5,1.0,14.0,0.8,0.5,-5.1,71.0,125,0.5227272727272727,45.0,21.0,-20.7,43.28387485876581,1.0,5.0,3.0,0.8,0.5,47.0,0.5,0.6,11.1,1,0,7.360572917810138,1.0,0.3333333333333333,71.0,7.0,1.0,21.0,1.0,0.5454545454545454,-3.5,0.5,1.0,1.0,-15.9,0.5909090909090909,0.6,0.5,0.3333333333333333,0.3333333333333333,0.0,7.0,1.4,0.0,21.0,15.2,0.6,0.5,0.5,1.0,0.3333333333333333,0,1.0,0.5,0.6333333333333333,1.0,0.5,43.28387485876581,3.0,0.5652173913043478,43.28387485876581,0.0,-6.8,6.0,0.0,0.5897435897435898,0.5,0.5,0.3333333333333333,0.3333333333333333,-145,0.575,0.8,17.1,11.0,1.0,1.0,0.3333333333333333,0.76,0.3333333333333333,2.1,0.5217391304347826,0.5869565217391305,0.0,0.8,0.55,-3.0,0.3333333333333333,1,1,7,2015,11,3.0,11.0,training,0,4.138481
200912060cle,0.4545454545454545,36.47832234769714,44.0,0.8,0.3488372093023256,1,13.0,2.0,1,3.0,36.47832234769714,16.0,0.0,0.59375,0.0,1,42.5,13.5,0.5,0.25,0.4444444444444444,-39.4,0.4,0.4,0.5454545454545454,0.5454545454545454,36.47832234769714,6.0,0.0,7.0,0.7272727272727273,0.5232558139534884,0.5454545454545454,1.0,20.0,0.4545454545454545,0.5454545454545454,18.7,34.0,-875,0.5,42.5,16.0,7.1,3.7076221039501935,1.0,30.0,19.0,0.4,0.5454545454545454,43.0,0.59375,0.8,-37.8,1,0,36.47832234769714,0.0,0.6,27.0,7.0,1.0,13.0,0.25,0.5,11.5,0.25,0.0,0.4545454545454545,19.1,0.5862068965517241,1.0,0.4827586206896552,0.8,0.5,8.0,13.0,-0.1,0.0,16.0,14.9,0.8,0.25,0.5833333333333334,0.09090909090909093,0.75,0,0.25,0.5,0.6,0.09090909090909093,0.25,3.7076221039501935,0.0,0.4444444444444444,3.7076221039501935,3.0,7.2,7.0,0.5,0.625,0.7272727272727273,0.5454545454545454,0.75,0.6,625,0.5581395348837209,0.4545454545454545,11.6,31.0,0.4545454545454545,0.0,0.6,0.21818181818181814,0.75,-25.9,0.4259259259259259,0.1851851851851852,0.0,0.4545454545454545,0.5465116279069767,14.0,0.75,1,-1,13,2009,-7,14.0,-7.0,training,0,-7.29825
201509130nyj,0.5,7.656467826809238,49.0,0.6,0.375,0,13.0,16.484069514844315,1,0.0,0.0,13.0,0.0,0.484375,0.0,1,38.5,-3.5,1.0,0.5,0.40625,0.5583272990586526,0.8,0.8,0.5,0.5,0.0,6.0,0.0,16.07313540912382,0.5,0.5625,0.5,1.0,16.32440260680666,0.5,0.5,1.7395365677045609,77.0,170,0.65625,39.5,13.0,0.32541636495293264,0.0,1.0,16.55503258508327,16.03874004344678,0.8,0.5,41.0,0.515625,0.2,0.07465604634322998,1,0,0.0,0.5,0.5,77.0,300.0,1.0,13.0,0.5,0.59375,-2.5,0.5,0.4,0.5,1.1731354091238233,0.4375,0.0,0.5,0.5,0.6666666666666667,8.0,1.0,0.08030412744388128,0.0,13.0,1.3540188269370024,0.6,0.5,0.4375,0.5,0.5,0,0.5,0.5,0.5294328528952108,0.5,0.5,0.0,0.0,0.5,0.0,0.0,-0.05716871832005794,300.0,0.5,0.34375,0.5,0.5,0.5,0.5,-200,0.5,0.5,1.493229543808834,16.30955829109341,0.5,0.5,0.5,0.5190258251586375,0.5,1.3056480811006512,0.4375,0.25,0.0,0.5,0.515625,-3.5,0.5,1,1,1,2015,21,3.5,21.0,training,0,8.153661
