game_id,weather___is_dome,travel___v_body_clock_from_last_wk,time_date___is_superbowl,rankings___v__estim_winrate,home_field___h_is_home,home_field___v_visitor__open_wr_ytd,time_date___week_id,team_history___v_close_wr_past_5_games,team_history___v_open_wr_past_3_seasons,home_field___h_home__ovr_wr_last_8_games,rankings___v__defensedvoa,travel___v_travel_from_last_game,weather___is_grass,weather___wind_mph,home_field___h_home__ovr_wr_last_4_games,line___pfr_ou,team_history___h_open_wr_past_5_games,travel___v_tz_change_last_10_days,home_field___v_consecutive_visitor,rankings___h__defensedvoa,home_field___h_consecutive_home,home_field___v_visitor__open_wr_last_4_games,time_date___day_of_week,team_history___v_open_wr_past_5_games,home_field___h_home__pfr_wr_ytd,travel___v_days_since_last_game,team_history___v_pfr_wr_ytd,home_field___v_visitor__ovr_wr_last_8_games,team_history___h_pfr_wr_past_5_games,travel___v_same_stadium_last_game,home_field___v_visitor__close_wr_last_8_games,home_field___h_home__ovr_wr_ytd,line___close_ou,weather___humidity_pct,home_field___v_visitor__close_wr_last_4_games,line___open_ou,home_field___v_visitor__open_wr_last_8_games,travel___h_travel_from_last_game,line___h_ml,team_history___h_pfr_wr_past_3_seasons,team_history___v_pfr_wr_past_2_seasons,rankings___v__s_t_dvoa,rankings___h__off_rank,team_history___v_open_wr_past_2_seasons,travel___h_tz_change_last_10_days,rankings___v__off_rank,time_date___is_sunday,team_history___h_close_wr_past_2_seasons,matchup___is_same_conf,team_history___v_ovr_wr_past_2_seasons,line___h_pfr_line,team_history___h_close_wr_past_3_seasons,home_field___h_home__open_wr_last_4_games,travel___v_travel_from_last_game_decay,home_field___h_home__pfr_wr_last_4_games,home_field___v_visitor__pfr_wr_last_8_games,travel___h_body_clock_from_last_wk,home_field___h_home__pfr_wr_last_8_games,weather___temperature,weather___wind_chill,home_field___v_visitor__close_wr_ytd,line___v_ml,home_field___h_home__open_wr_last_8_games,time_date___game_time_local,team_history___h_ovr_wr_past_2_seasons,rankings___h__s_t_rank,matchup___h_wr_past_5_games,rankings___v__dave_or_wtddvoa,team_history___h_open_wr_past_3_seasons,home_field___h_home__close_wr_ytd,home_field___h_home__close_wr_last_4_games,matchup___h_wr_ytd,team_history___v_ovr_wr_past_3_seasons,team_history___v_ovr_wr_ytd,team_history___v_pfr_wr_past_5_games,time_date___is_playoffs,team_history___h_ovr_wr_past_5_games,rankings___h__estim_winrate,team_history___v_pfr_wr_past_3_seasons,rankings___h__dave_or_wtddvoa,rankings___h__def_rank,team_history___h_close_wr_past_5_games,rankings___v__def_rank,travel___h_travel_from_last_game_decay,time_date___game_time_eastern,matchup___is_same_division,travel___h_same_stadium_last_game,home_field___v_visitor__pfr_wr_last_4_games,team_history___h_pfr_wr_ytd,rankings___h__totaldvoa,rankings___h__offensedvoa,team_history___v_open_wr_ytd,team_history___v_close_wr_past_3_seasons,team_history___h_open_wr_past_2_seasons,home_field___v_visitor__ovr_wr_ytd,home_field___v_visitor__ovr_wr_last_4_games,team_history___h_open_wr_ytd,rankings___v__offensedvoa,home_field___h_home__open_wr_ytd,line___h_close_line,travel___v_home_body_time,team_history___h_close_wr_ytd,home_field___v_is_home,travel___v_tz_change_last_game,travel___v_dist_from_home,matchup___h_wr_past_3_seasons,rankings___v__totaldvoa,travel___h_tz_change_last_game,travel___v_travel_from_last_10_days,team_history___h_ovr_wr_ytd,travel___h_travel_from_last_10_days,team_history___v_close_wr_ytd,team_history___v_ovr_wr_past_5_games,line___h_open_line,home_field___h_home__close_wr_last_8_games,rankings___h__s_t_dvoa,home_field___v_visitor__pfr_wr_ytd,rankings___v__s_t_rank,matchup___h_wr_past_2_seasons,team_history___h_pfr_wr_past_2_seasons,team_history___v_close_wr_past_2_seasons,travel___h_days_since_last_game,team_history___h_ovr_wr_past_3_seasons,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,regression_label,dataset,fold,regression_score
200912060atl,1,13.0,0.0,0.6818181818181818,1.0,0.5454545454545454,13.0,0.4,0.5652173913043478,1.0,-11.0,11.090170542372197,0,0.0,1.0,43.5,0.6,0.0,1,11.1,2,0.5,6.0,0.4,0.6363636363636364,7.0,0.5454545454545454,0.6,0.6,0,0.6,0.5454545454545454,43.5,0.0,0.5,44.5,0.6,0.0,190,0.5454545454545454,0.6,5.7,17.0,0.6,0.0,12.0,1.0,0.5714285714285714,1.0,0.6166666666666667,4.0,0.5340909090909091,0.75,11.090170542372197,0.75,0.6,13.0,0.8,68.0,68.0,0.5454545454545454,-230,0.8,13.0,0.6071428571428571,19.0,0.0,28.6,0.5681818181818182,0.6363636363636364,0.75,0.5,0.5760869565217391,0.6363636363636364,0.4,0.0,0.4,0.5,0.5652173913043478,-2.8,25.0,0.6,3.0,0.0,13.0,0.0,1,0.5,0.6363636363636364,-1.3,9.8,0.5454545454545454,0.5652173913043478,0.6071428571428571,0.6363636363636364,0.5,0.6363636363636364,14.0,0.6363636363636364,4.0,13.0,0.6363636363636364,0.0,0.0,11.090170542372197,0.0,30.6,0.0,11.090170542372197,0.5454545454545454,0.0,0.5454545454545454,0.6,3.0,0.8,0.0,0.5454545454545454,4.0,0.0,0.5714285714285714,0.6,7.0,0.4772727272727273,-1,-1,13,2009,-27,4.0,-27.0,training,0,2.373867
201411060cin,1,20.0,0.0,0.55,1.0,0.625,10.0,0.5,0.4875,0.9,4.5,3.7076221039501935,0,17.0,0.875,46.0,0.1,0.0,1,1.1,3,0.6666666666666666,3.0,0.6,0.5625,4.0,0.6875,0.3333333333333333,0.3,0,0.5,0.6875,46.5,86.0,0.5,44.0,0.6666666666666666,0.0,-260,0.5833333333333334,0.4791666666666667,1.8,15.0,0.4583333333333333,0.0,16.0,0.0,0.6,1.0,0.375,-6.5,0.5833333333333334,0.375,3.7076221039501935,0.625,0.6666666666666666,20.0,0.7,42.0,42.0,0.5625,215,0.5,20.0,0.66,8.0,0.6,-5.1,0.5833333333333334,0.5625,0.625,0.5,0.35,0.625,0.6,0.0,0.5,0.6375,0.5,4.4,14.0,0.3,21.0,0.0,20.0,1.0,1,0.6666666666666666,0.5625,6.1,3.6,0.625,0.475,0.6,0.625,0.3333333333333333,0.4375,-1.9,0.4375,-6.0,20.0,0.5625,0.0,0.0,3.7076221039501935,0.5,-4.6,0.0,3.7076221039501935,0.6875,0.0,0.5625,0.8,-6.0,0.7,3.5,0.6875,14.0,0.5,0.6,0.4375,4.0,0.6309523809523809,-1,-1,10,2014,-21,6.0,-21.0,training,0,14.151685
201410260jax,1,12.0,0.0,0.7000000000000001,1.0,0.6,8.0,0.4,0.5394736842105263,0.3333333333333333,-11.1,12.995604563393725,1,6.0,0.3333333333333333,42.5,0.4,1.0,2,-1.4,2,0.5,6.0,0.6,0.2857142857142857,7.0,0.5,0.5,0.4,0,0.5,0.14285714285714285,42.0,45.0,0.5,43.5,0.5,0.0,265,0.3717948717948718,0.5227272727272727,-9.9,31.0,0.5454545454545454,0.0,11.0,1.0,0.32608695652173914,1.0,0.5,7.0,0.35897435897435903,0.3333333333333333,12.995604563393725,0.3333333333333333,0.5,13.0,0.3333333333333333,76.0,76.0,0.4,-320,0.3333333333333333,13.0,0.21739130434782608,24.0,0.0,4.8,0.38461538461538464,0.2857142857142857,0.3333333333333333,0.5,0.4736842105263158,0.5,0.4,0.0,0.2,0.24285714285714285,0.5263157894736842,-27.9,13.0,0.4,3.0,0.0,13.0,0.0,1,0.5,0.2857142857142857,-29.8,-28.7,0.6666666666666666,0.5263157894736842,0.3478260869565217,0.4,0.5,0.2857142857142857,5.6,0.2857142857142857,7.0,13.0,0.2857142857142857,0.0,1.0,4.58438453022868,0.0,6.8,0.0,12.995604563393725,0.14285714285714285,0.0,0.5,0.4,4.0,0.3333333333333333,-2.4,0.4,32.0,0.5,0.32608695652173914,0.5227272727272727,7.0,0.1794871794871795,-1,-1,8,2014,-14,7.0,-14.0,training,0,-4.0555615
200909270nyj,1,12.0,0.0,0.5294328528952108,1.0,0.5,3.0,0.4,0.5833333333333334,1.0,4.6,13.517869550761311,0,8.0,1.0,36.0,0.4,1.0,1,-17.7,2,1.0,6.0,0.4,1.0,7.0,0.5,0.0,0.4,0,1.0,1.0,36.0,90.0,1.0,38.0,1.0,0.0,-130,0.4558823529411765,0.6842105263157895,-11.1,15.0,0.6578947368421053,0.0,14.0,1.0,0.5,1.0,0.6842105263157895,-1.0,0.4558823529411765,1.0,13.517869550761311,1.0,1.0,13.0,1.0,66.0,66.0,0.5,110,1.0,13.0,0.6111111111111112,1.0,0.5,11.8,0.4558823529411765,1.0,1.0,0.5,0.6388888888888888,0.0,0.4,0.0,0.6,0.5190258251586375,0.5833333333333334,-4.8,6.0,0.4,17.0,0.0,13.0,0.0,1,1.0,1.0,35.3,7.7,0.5,0.6111111111111112,0.5,0.0,0.0,1.0,8.9,1.0,-1.0,12.0,1.0,0.0,1.0,13.517869550761311,0.5,-6.7,0.0,13.517869550761311,1.0,0.0,0.5,0.2,-2.0,1.0,9.9,0.5,31.0,1.0,0.5,0.7105263157894737,7.0,0.4411764705882353,1,1,3,2009,7,1.0,7.0,training,0,-3.4727082
201312150jax,1,13.0,0.0,0.4384615384615385,1.0,0.4230769230769231,15.0,0.2,0.4222222222222222,0.2,-11.8,2.502608110052396,1,20.0,0.25,43.0,0.8,0.0,2,11.8,2,0.25,6.0,0.2,0.4166666666666667,7.0,0.4615384615384616,0.16666666666666666,0.8,0,0.16666666666666666,0.3333333333333333,43.0,0.0,0.25,44.0,0.16666666666666666,0.0,170,0.43333333333333335,0.4482758620689655,-5.4,32.0,0.4310344827586207,0.0,25.0,1.0,0.3965517241379311,1.0,0.3448275862068966,4.0,0.4222222222222222,0.25,2.502608110052396,0.25,0.16666666666666666,13.0,0.2,60.0,60.0,0.4615384615384616,-200,0.2,13.0,0.20689655172413796,11.0,0.6,-12.3,0.4,0.4166666666666667,0.25,0.5,0.3555555555555556,0.3076923076923077,0.2,0.0,0.8,0.19230769230769232,0.43333333333333335,-35.6,28.0,0.8,5.0,0.0,13.0,0.0,1,0.25,0.38461538461538464,-43.2,-33.9,0.4230769230769231,0.43333333333333335,0.4137931034482759,0.3076923076923077,0.25,0.38461538461538464,-13.3,0.4166666666666667,4.0,13.0,0.38461538461538464,0.0,0.0,12.772258581085017,0.0,-6.9,0.0,2.502608110052396,0.3076923076923077,0.0,0.4615384615384616,0.2,2.0,0.2,2.4,0.4615384615384616,28.0,0.0,0.4137931034482759,0.4482758620689655,10.0,0.24444444444444444,-1,-1,15,2013,-7,4.0,-7.0,training,0,2.7860157
200810120sfo,1,16.0,0.0,0.7,1.0,0.6,6.0,0.6,0.5238095238095238,0.3333333333333333,-16.1,47.269240121462715,1,13.0,0.3333333333333333,41.5,0.4,-3.0,1,-1.6,2,0.5,6.0,0.6,0.4,7.0,0.6,0.0,0.4,0,0.5,0.4,41.5,24.0,0.5,44.0,0.5,0.0,190,0.35714285714285715,0.5238095238095238,3.2,26.0,0.5238095238095238,0.0,9.0,1.0,0.3333333333333333,1.0,0.4761904761904762,5.0,0.3333333333333333,0.3333333333333333,47.269240121462715,0.3333333333333333,0.5,13.0,0.3333333333333333,64.0,64.0,0.6,-230,0.3333333333333333,13.0,0.3333333333333333,9.0,0.5,32.8,0.4047619047619048,0.4,0.3333333333333333,0.5,0.4761904761904762,0.4,0.6,0.0,0.4,0.4400000000000001,0.5238095238095238,-10.6,11.0,0.4,5.0,0.0,16.0,0.0,1,0.5,0.4,-4.3,-9.7,0.6,0.5238095238095238,0.4047619047619048,0.4,0.0,0.4,13.3,0.4,5.0,16.0,0.4,0.0,-3.0,47.269240121462715,0.5,32.7,0.0,47.269240121462715,0.4,0.0,0.6,0.4,4.5,0.3333333333333333,3.9,0.6,11.0,0.5,0.35714285714285715,0.5238095238095238,7.0,0.3333333333333333,-1,-1,6,2008,-14,5.0,-14.0,training,0,-0.47755682
201210140htx,1,21.0,0.0,0.7,1.0,0.4,6.0,0.4,0.6190476190476191,1.0,-5.9,13.675520040183914,1,0.0,1.0,46.5,0.8,-1.0,2,-26.7,1,0.5,6.0,0.4,0.8,7.0,0.2,0.0,0.8,0,0.5,1.0,46.5,0.0,0.5,47.5,0.5,24.064398535779482,-195,0.5641025641025641,0.5454545454545454,2.0,4.0,0.5909090909090909,-1.0,5.0,1.0,0.7173913043478259,0.0,0.7727272727272727,-4.0,0.5641025641025641,1.0,13.675520040183914,1.0,0.0,21.0,1.0,68.0,68.0,0.4,170,1.0,20.0,0.6956521739130435,30.0,1.0,25.4,0.5897435897435898,0.8,1.0,0.5,0.7380952380952381,0.4,0.2,0.0,1.0,0.8800000000000001,0.5952380952380952,25.7,2.0,0.8,12.0,24.064398535779482,21.0,0.0,0,0.0,0.8,33.8,19.5,0.4,0.6190476190476191,0.7173913043478259,0.4,0.0,0.8,18.0,0.8,-4.0,20.0,0.8,0.0,-1.0,16.53891709940527,0.5,26.0,-1.0,13.675520040183914,1.0,24.064398535779482,0.4,0.4,-5.0,1.0,-12.3,0.2,11.0,0.5,0.7173913043478259,0.5909090909090909,6.0,0.5641025641025641,-1,-1,6,2012,-18,4.0,-18.0,training,0,4.5589724
200911220rai,1,16.0,0.0,0.6666666666666666,1.0,0.6666666666666666,11.0,0.8,0.5,0.2,-2.3,42.27072829006971,1,8.0,0.25,36.0,0.4,-3.0,2,9.5,2,0.75,6.0,0.8,0.4444444444444444,7.0,0.6666666666666666,1.0,0.4,0,0.75,0.2222222222222222,36.0,84.0,0.75,35.0,0.75,0.0,350,0.4146341463414634,0.52,-1.7,32.0,0.52,0.0,7.0,1.0,0.44,1.0,0.46,8.5,0.4146341463414634,0.25,42.27072829006971,0.25,0.75,13.0,0.4,54.0,54.0,0.6666666666666666,-450,0.4,13.0,0.28,20.0,0.5,19.5,0.4146341463414634,0.4444444444444444,0.25,0.5,0.451219512195122,0.7777777777777778,0.8,0.0,0.2,0.14444444444444446,0.475609756097561,-50.8,24.0,0.4,13.0,0.0,16.0,0.0,1,0.75,0.4444444444444444,-49.1,-39.1,0.6666666666666666,0.475609756097561,0.44,0.7777777777777778,1.0,0.4444444444444444,17.9,0.4444444444444444,8.5,16.0,0.4444444444444444,0.0,-3.0,37.708495036032666,0.5,18.6,0.0,42.27072829006971,0.2222222222222222,0.0,0.6666666666666666,0.8,9.5,0.4,-0.5,0.6666666666666666,23.0,0.5,0.44,0.52,7.0,0.2682926829268293,1,1,11,2009,3,8.5,3.0,training,0,-12.545534
201509130nyj,1,13.0,0.0,0.5294328528952108,1.0,0.5,1.0,0.6,0.4375,0.5,0.32541636495293264,0.0,0,8.0,0.5,39.5,0.8,0.0,1,1.1731354091238233,1,0.5,6.0,0.2,0.5,300.0,0.5,0.5,0.8,0,0.5,0.5,38.5,49.0,0.5,41.0,0.5,0.0,-200,0.515625,0.65625,0.08030412744388128,16.30955829109341,0.5,0.0,16.07313540912382,1.0,0.40625,1.0,0.4375,-3.5,0.5,0.5,0.0,0.5,0.5,13.0,0.5,77.0,77.0,0.5,170,0.5,13.0,0.25,16.484069514844315,0.6666666666666667,1.3540188269370024,0.5625,0.5,0.5,0.5,0.34375,0.5,0.6,0.0,0.4,0.5190258251586375,0.515625,0.5583272990586526,16.55503258508327,0.8,16.03874004344678,0.0,13.0,0.0,0,0.5,0.5,0.07465604634322998,1.3056480811006512,0.5,0.484375,0.5,0.5,0.5,0.5,1.7395365677045609,0.5,-3.5,13.0,0.5,0.0,0.0,7.656467826809238,1.0,1.493229543808834,0.0,0.0,0.5,0.0,0.5,0.0,-2.5,0.5,-0.05716871832005794,0.5,16.32440260680666,0.5,0.4375,0.59375,300.0,0.375,1,1,1,2015,21,3.5,21.0,training,0,5.744756
200710210rai,1,15.0,0.0,0.5333333333333333,1.0,0.6666666666666666,7.0,0.7,0.6666666666666666,0.5,-7.6,27.74701021042268,1,10.0,0.5,38.0,0.4,-2.0,1,14.1,1,0.6666666666666666,6.0,0.8,0.4,7.0,0.5833333333333334,0.3333333333333333,0.4,0,0.6666666666666666,0.4,37.5,32.0,0.6666666666666666,38.0,0.6666666666666666,7.1066775490731375,-135,0.4,0.5833333333333334,-5.0,27.0,0.6666666666666666,0.0,28.0,1.0,0.4,1.0,0.5,-1.5,0.4,0.0,27.74701021042268,0.0,0.6666666666666666,13.0,0.0,68.0,68.0,0.5833333333333334,115,0.0,13.0,0.4,31.0,0.5,-13.1,0.4,0.4,0.0,0.5,0.5,0.5,0.7,0.0,0.4,0.18,0.5833333333333334,-31.8,29.0,0.4,10.0,7.1066775490731375,16.0,1.0,0,0.6666666666666666,0.4,-37.7,-13.5,0.6666666666666666,0.5833333333333334,0.4,0.5,0.3333333333333333,0.4,-14.7,0.4,-2.0,15.0,0.4,0.0,-2.0,27.74701021042268,0.5,-12.1,0.0,27.74701021042268,0.4,7.1066775490731375,0.5833333333333334,0.6,-3.0,0.0,-10.1,0.5833333333333334,24.0,0.5,0.4,0.5833333333333334,7.0,0.4,-1,-1,7,2007,-2,2.0,-2.0,training,0,-0.10330242
