,game_id,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,0_regression_score,1_regression_score,2_regression_score,3_regression_score,4_regression_score,regression_label,label,regression_score
0,200909140nwe,-1,1,1,2009,1,13.5,5.511401,11.15254,,15.908063,12.094101,1.0,1,11.16652625
1,200911150oti,1,1,10,2009,24,7.5,1.8107518,,,,8.477893,24.0,1,5.1443224
2,200912270atl,1,1,16,2009,28,7.5,,,12.551608,1.2840707,5.5333076,28.0,1,6.456328766666666
3,200912130kan,-1,-1,14,2009,-6,2.5,-2.4257232999999996,4.676979,-2.4605818,1.3862493,,-6.0,0,0.2942308000000002
4,201001030min,1,1,17,2009,37,8.5,,13.195210999999999,,3.7558646,,37.0,1,8.4755378
5,200912210was,-1,-1,15,2009,-33,3.0,,,7.037759299999999,-1.0176295,-1.6085985,-33.0,0,1.470510433333333
6,200911260den,1,1,12,2009,20,4.5,,,,,-14.723329000000001,20.0,1,-14.723329000000001
7,200909270tam,-1,-1,3,2009,-24,6.0,-11.738464,-9.954350999999999,,-11.633873,,-24.0,0,-11.108896
8,200911010phi,1,1,8,2009,23,3.0,6.926823,,,,,23.0,1,6.926823
9,200910040kan,-1,-1,4,2009,-11,9.5,-20.069020000000002,,-8.705881,,-5.130741,-11.0,0,-11.301880666666667
10,200910180nor,1,1,6,2009,21,3.0,-6.4812174,,6.256872,5.243125,,21.0,1,1.6729265333333334
11,200909200dal,-1,-1,2,2009,-2,3.0,-1.1878251,11.647236,0.0852581,,4.7268815,-2.0,0,3.817887625
12,200712090nyj,-1,-1,14,2007,-6,3.0,-3.6301346,-8.5745325,-1.6192253,,-10.586667,-6.0,0,-6.10263985
13,200709230rai,-1,1,3,2007,2,3.0,,,,-12.052254,,2.0,1,-12.052254
14,200710280ram,-1,-1,8,2007,-7,3.0,,,,,-8.4426,-7.0,0,-8.4426
15,200712230cin,1,1,16,2007,5,2.0,4.6338096,,,-1.4012492,,5.0,1,1.6162802
16,200712020crd,1,1,13,2007,6,1.0,-3.7335544,-5.1748915,3.4039562000000005,-1.3065323,,6.0,1,-1.7027554999999999
17,200710070nwe,1,1,5,2007,17,15.5,,,15.08505,19.862717,,17.0,1,17.4738835
18,200711110pit,-1,1,10,2007,3,9.0,6.242110299999999,11.760528,,,,3.0,1,9.00131915
19,200711180rav,-1,-1,11,2007,-3,1.0,,-5.601096599999999,,,-3.2627487,-3.0,0,-4.43192265
20,200809280nyj,1,1,4,2008,21,1.0,,1.5324106000000002,,,,21.0,1,1.5324106000000002
21,200811020ram,-1,-1,9,2008,-21,3.0,,,-3.1149802,-4.17859,-6.372778,-21.0,0,-4.5554494
22,200811160sea,-1,-1,11,2008,-6,3.0,3.8956306000000005,-5.9757705,0.38051890000000005,,-1.9529816999999998,-6.0,0,-0.9131506749999999
23,200809210was,1,1,3,2008,7,3.0,1.0248450999999998,,8.610468,,,7.0,1,4.81765655
24,200810260car,-1,1,8,2008,4,4.5,1.3312216000000001,6.8029637,,,,4.0,1,4.06709265
25,200901100car,-1,-1,19,2008,-20,10.0,15.856276999999999,8.059633,,17.298239000000002,10.541414999999999,-20.0,0,12.938891
26,200812210nwe,1,1,16,2008,40,8.0,19.43305,,,14.606709500000001,,40.0,1,17.01987975
27,200811270phi,1,1,13,2008,28,3.0,3.7630377,0.5486853,4.8112072999999995,,2.2637,28.0,1,2.846657575
28,200809070sfo,-1,-1,1,2008,-10,2.5,3.5222356,,-1.1933028,,2.564463,-10.0,0,1.6311319333333334
29,200810260nyj,-1,1,8,2008,4,13.0,11.175952,,9.623425,16.540298,4.3835053,4.0,1,10.430795075
30,200811090sdg,-1,1,10,2008,1,15.0,7.0376034,,28.580988,7.927444,,1.0,1,14.515345133333334
31,200812280cin,1,1,17,2008,10,1.5,2.1061764,-3.7009006,,10.069189,-7.597013499999999,10.0,1,0.21936282500000015
32,200810050car,1,1,5,2008,34,10.0,,14.983788500000001,8.743267999999999,,-0.042242825,34.0,1,7.894937891666667
33,200812070den,-1,1,14,2008,7,9.0,,-0.07468122,,,,7.0,1,-0.07468122
34,200809070nwe,-1,1,1,2008,7,16.0,,12.361895,10.667617,,,7.0,1,11.514756
35,200809210atl,1,1,3,2008,24,6.0,17.098932,,,,,24.0,1,17.098932
36,200811300rai,-1,-1,13,2008,-7,3.0,-7.263612299999999,8.651739,,,11.177464500000001,-7.0,0,4.1885304
37,200811090nyj,1,1,10,2008,44,9.5,11.229127,14.876853,9.051183,5.2466307,,44.0,1,10.100948425
38,200809210sea,1,1,3,2008,24,8.0,,5.3669415,1.9561702,,12.520548,24.0,1,6.614553233333333
39,200810120was,-1,-1,6,2008,-2,12.0,,4.1604815,,,10.223158999999999,-2.0,0,7.191820249999999
40,200812070crd,1,1,14,2008,24,14.5,21.224795999999998,,10.382539999999999,19.492810000000002,26.21029,24.0,1,19.327609
41,200809070phi,1,1,1,2008,35,7.5,14.968748999999999,,8.998714999999999,11.401924000000001,11.80505,35.0,1,11.7936095
42,200812280atl,-1,1,17,2008,4,14.0,,19.75293,15.442429999999998,,13.705521,4.0,1,16.300293666666665
43,200811160sfo,1,1,11,2008,19,7.0,,3.9532309999999997,,,,19.0,1,3.9532309999999997
44,200910110car,-1,1,5,2009,3,5.0,,,-2.1262022999999997,-3.5676693999999998,-1.9750633000000002,3.0,1,-2.5563116666666663
45,200909270det,1,1,3,2009,5,6.5,,-17.827864,0.48369467,,0.8957719999999999,5.0,1,-5.482799110000001
46,200911290phi,-1,1,12,2009,3,10.0,9.316276,8.113821000000002,7.6120149999999995,20.576202,13.661985999999999,3.0,1,11.85606
47,200911080atl,1,1,9,2009,14,8.5,,4.284504,,,7.054078,14.0,1,5.669290999999999
48,200912130rai,-1,-1,14,2009,-21,2.0,-0.6834756,,,,,-21.0,0,-0.6834756
50,200911220nyg,-1,1,11,2009,3,7.0,6.3750777,7.021841,6.486159,9.964032000000001,5.767345400000001,3.0,1,7.122891020000002
51,200912200nyj,-1,-1,15,2009,-3,5.0,5.3749113,6.1596985,,,2.488712,-3.0,0,4.6744406
52,200911150car,1,1,10,2009,9,1.0,1.7983866000000002,,,,,9.0,1,1.7983866000000002
53,200909270nwe,1,1,3,2009,16,4.5,10.053905499999999,,9.904946,9.364782,,16.0,1,9.7745445
54,201001030tam,-1,-1,17,2009,-10,3.0,,,-4.0941987,-0.05662769,,-10.0,0,-2.075413195
55,200911020nor,-1,1,8,2009,8,11.0,,8.817862,,,15.088792999999999,8.0,1,11.9533275
56,200910110sfo,-1,-1,5,2009,-35,0.0,-17.01869,,,-9.226498,-9.520485,-35.0,0,-11.921891
57,200910250dal,1,1,7,2009,16,5.0,8.067078,11.458910000000001,-0.011735022,,,16.0,1,6.504750992666668
58,200912130nyg,-1,-1,14,2009,-7,1.0,8.360974,,,3.0792136,,-7.0,0,5.720093800000001
59,200911150sdg,1,1,10,2009,8,1.0,-3.2488556,-2.180207,-0.048521935999999995,6.7240660000000005,-3.4543955000000004,8.0,1,-0.4415828072
60,200910260was,-1,-1,7,2009,-10,9.0,,-5.698246,,,,-10.0,0,-5.698246
61,200909130car,-1,-1,1,2009,-28,2.5,0.48655114,,,-2.1292825,,-28.0,0,-0.82136568
62,200911220chi,-1,-1,11,2009,-4,3.5,,,0.24620798,,-7.415023,-4.0,0,-3.5844075099999997
63,200912060atl,-1,-1,13,2009,-27,4.0,,2.3738669999999997,,-9.5777025,-0.9713780999999999,-27.0,0,-2.7250712
64,200910180rai,1,1,6,2009,4,14.5,-9.230191,,-6.9200954,-13.206451999999999,-12.889418,4.0,1,-10.5615391
65,201001030dal,1,1,17,2009,24,2.5,-1.1127292,5.967948000000001,8.113685,,,24.0,1,4.3229679333333335
66,201001090dal,1,1,18,2009,20,4.0,,11.410403,12.421225,,-1.0825641000000001,20.0,1,7.583021300000001
67,200912270nyg,-1,-1,16,2009,-32,8.5,6.307705,,7.5533399999999995,,,-32.0,0,6.9305225
68,200911290nyj,1,1,12,2009,11,3.0,0.29146487,,,,,11.0,1,0.29146487
69,200911010crd,-1,-1,8,2009,-13,10.0,19.092089,19.958656,,12.750425,,-13.0,0,17.26705666666667
70,200912130nwe,-1,1,14,2009,10,12.5,,11.541885,13.177038,,11.474226,10.0,1,12.064383
71,200910180tam,-1,-1,6,2009,-7,3.5,0.7705181,0.39084327,-5.5696054,-0.73901904,,-7.0,0,-1.2868157675
72,200909200atl,1,1,2,2009,8,5.5,23.078926,,,13.674826000000001,14.687439999999999,8.0,1,17.147064
73,200911080nor,-1,1,9,2009,10,12.0,11.432473,9.499335,7.709701,,4.117301,10.0,1,8.1897025
74,200909280dal,1,1,3,2009,14,8.5,2.3336625,4.3004417,21.843851,-1.8326108,,14.0,1,6.6613361
75,200710070ram,1,-1,5,2007,-3,3.5,-11.408336,1.479715,,,-14.204548999999998,-3.0,0,-8.04439
76,200712090sea,1,1,14,2007,21,8.0,11.692406,10.071577,8.63336,10.076489,7.990394599999999,21.0,1,9.69284532
77,200710210was,-1,1,7,2007,2,8.0,,,3.3556576000000002,,8.85872,2.0,1,6.1071888
78,200711180cin,-1,-1,11,2007,-8,3.0,,11.219596000000001,,,,-8.0,0,11.219596000000001
79,200709100sfo,-1,1,1,2007,3,3.5,,2.8227723,,6.036675499999999,,3.0,1,4.4297239
80,200709230rav,-1,1,3,2007,3,7.0,-1.956377,,8.073647,,,3.0,1,3.0586349999999998
81,200711040tam,1,1,9,2007,7,3.0,2.2175599999999998,,1.792568,-4.953560400000001,,7.0,1,-0.3144774666666669
82,200712160nor,1,1,15,2007,7,4.0,,5.136664,-3.881989,,5.7030187,7.0,1,2.3192312333333334
83,201009120ram,-1,-1,1,2010,-4,3.0,,-4.354907,,,-4.98715,-4.0,0,-4.6710285
84,201010030sdg,1,1,4,2010,31,10.0,4.7987779999999995,-1.476851,10.709359,7.934002400000001,,31.0,1,5.4913221
85,201010240sea,1,1,7,2010,12,6.5,4.5357347,10.367731,4.505141,,0.8987138000000001,12.0,1,5.076830125
86,201012190car,1,1,15,2010,7,2.5,,,1.9985571,,-1.5926709,7.0,1,0.20294310000000004
87,201011070min,-1,1,9,2010,3,7.0,,,,6.98446,,3.0,1,6.98446
88,201009190atl,1,1,2,2010,34,7.0,,-0.80324125,4.769523,,,34.0,1,1.9831408750000001
89,201011210kan,1,1,11,2010,18,7.0,,10.678614,-1.8317199,,,18.0,1,4.42344705
90,201101020sfo,1,1,17,2010,31,6.0,2.9752188,3.3506782,,,9.704966,31.0,1,5.343621
91,201009260ram,1,1,3,2010,14,5.0,-9.437864999999999,1.0814745000000001,1.1016285,,-3.5413794999999997,14.0,1,-2.6990353749999993
92,201010240chi,-1,-1,7,2010,-3,3.0,-3.9243536,-4.0943556,,1.8475435000000002,,-3.0,0,-2.057055233333333
93,201010310det,1,1,8,2010,12,2.5,,-3.8001366,,,2.0829425,12.0,1,-0.85859705
94,201011210oti,-1,-1,11,2010,-3,7.0,13.759285,11.353642,,5.7058454,6.804447,-3.0,0,9.405804849999999
95,201010030phi,-1,-1,4,2010,-5,5.5,1.5952681999999998,,5.2475486,4.4410305,,-5.0,0,3.7612824333333332
96,201012190dal,-1,1,15,2010,3,9.0,10.980804,,1.8443154999999998,3.224741,,3.0,1,5.349953500000001
97,201012260jax,-1,-1,16,2010,-3,7.0,4.6983266,12.405283,4.927149,-0.33008534,,-3.0,0,5.425168315
98,201012050nyg,1,1,13,2010,24,7.5,,,,,19.740161999999998,24.0,1,19.740161999999998
99,201010030ram,1,1,4,2010,17,2.0,,1.1698473999999999,3.5058727,,,17.0,1,2.3378600499999997
100,201010170chi,-1,-1,6,2010,-3,6.0,8.033186,6.407377200000001,2.8476512,,,-3.0,0,5.762738133333333
101,201101160chi,1,1,19,2010,11,10.0,14.359295000000001,,8.199382,11.322372999999999,,11.0,1,11.293683333333334
102,201011140crd,-1,-1,10,2010,-18,3.5,,-2.8454822999999996,5.658561,,,-18.0,0,1.40653935
103,201009190den,1,1,2,2010,17,3.5,,-5.3865795,0.123542935,-0.76159763,4.3674116,17.0,1,-0.4143056487500001
104,201012260tam,1,1,16,2010,23,5.5,,-0.6544411,,,,23.0,1,-0.6544411
105,201011210nor,1,1,11,2010,15,11.0,,,17.082024,12.305601,16.020985,15.0,1,15.136203333333333
106,201012120sfo,1,1,14,2010,19,4.5,10.380751,,,,,19.0,1,10.380751
108,201111270ram,-1,-1,12,2011,-3,2.5,-0.7644665,-2.668552,-4.207278,-9.962504,-0.99026287,-3.0,0,-3.718612674
110,201112240cin,1,1,16,2011,7,4.0,2.9816198,,,1.859247,,7.0,1,2.4204334
111,201110300rav,-1,1,8,2011,3,11.5,,,,,13.341427,3.0,1,13.341427
112,201111130phi,-1,-1,10,2011,-4,13.0,,,12.128886,,,-4.0,0,12.128886
113,201111200sfo,1,1,11,2011,16,10.0,12.438496,,15.52996,12.621423,13.415987,16.0,1,13.501466500000001
114,201110090min,1,1,5,2011,24,3.5,,,,,-3.4349182000000003,24.0,1,-3.4349182000000003
115,201109250sea,1,1,3,2011,3,3.0,0.29741982,-9.540503,,-1.696203,-0.3041818,3.0,1,-2.810866995
116,201201010ram,1,-1,17,2011,-7,12.5,,,-19.061564999999998,,-9.643322999999999,-7.0,0,-14.352443999999998
117,201111060was,-1,-1,9,2011,-8,5.5,,-11.175133,-2.9827359,,,-8.0,0,-7.07893445
118,201109250cin,-1,-1,3,2011,-5,1.0,,-3.7282186,,,-6.5322037,-5.0,0,-5.13021115
119,201112110crd,1,1,14,2011,2,3.5,-15.795773,,-5.6914415,-1.7665283999999999,,2.0,1,-7.751247633333333
120,201110160det,-1,-1,6,2011,-6,5.0,6.6680326,5.3042917,11.58497,11.904746000000001,,-6.0,0,8.865510075000001
121,201111240rav,1,1,12,2011,10,3.5,,3.8799714999999995,8.890186,,,10.0,1,6.38507875
122,201110020phi,-1,-1,4,2011,-1,10.0,,10.767219,6.52907,7.651047,7.375769,-1.0,0,8.08077625
123,201112240sea,1,-1,16,2011,-2,2.5,,4.784895,2.390034,-2.6983208999999997,-5.7535276,-2.0,0,-0.319229875
124,201309080ram,-1,1,1,2013,3,4.5,,6.0649690000000005,3.4841669,5.5948825,,3.0,1,5.048006133333334
125,201309290tam,-1,-1,4,2013,-3,2.5,,,-0.16921693,,10.082746,-3.0,0,4.9567645350000005
126,201312010phi,-1,1,13,2013,3,3.5,,,15.950527,,15.184594,3.0,1,15.567560499999999
127,201311170jax,-1,-1,11,2013,-13,9.5,-12.649346000000001,-6.659055,-12.816067,,,-13.0,0,-10.708156000000002
128,201310130sfo,1,1,6,2013,12,9.5,1.6304996999999999,,,,5.2730144999999995,12.0,1,3.4517570999999996
129,201309220nor,1,1,3,2013,24,7.0,,,9.580502000000001,12.507114999999999,-0.8374759,24.0,1,7.083380366666667
130,201312220sea,-1,-1,16,2013,-7,8.0,,,14.734353,15.152968,,-7.0,0,14.9436605
131,201312150ram,1,1,15,2013,11,7.0,-8.661749,-9.420878,-6.6641509999999995,,,11.0,1,-8.248926
132,201312220car,1,1,16,2013,4,3.0,2.0368087,8.365608,,,9.303746,4.0,1,6.5687209
133,201310060chi,-1,-1,5,2013,-8,1.0,,2.5492952,,,,-8.0,0,2.5492952
134,201310130nwe,1,1,6,2013,3,2.5,2.48732,,10.60417,,6.3766317,3.0,1,6.4893739
135,201309150tam,1,-1,2,2013,-2,4.0,,,,-2.2721956000000003,-6.6859055,-2.0,0,-4.47905055
136,201401040phi,-1,-1,18,2013,-2,3.0,7.142060799999999,-7.1705856,8.838602,2.5757582,,-2.0,0,2.8464588499999994
137,201311210atl,1,-1,12,2013,-4,7.5,-5.251389,-1.967082,-5.5895658,-11.489827,,-4.0,0,-6.0744659500000004
138,201311030nyj,1,1,9,2013,6,6.0,,,-7.673143400000001,-13.376454999999998,-10.266869999999999,6.0,1,-10.438822799999999
139,201312020sea,1,1,13,2013,27,6.5,5.989033999999999,5.836156,5.0774336,,12.757072,27.0,1,7.4149239
140,201401110sea,-1,1,19,2013,8,9.0,-4.913677,,5.9720902,,6.972626700000001,8.0,1,2.6770133000000005
141,201312220ram,1,1,16,2013,10,3.0,,9.034791,,3.284521,,10.0,1,6.159656
143,201311240det,-1,-1,12,2013,-3,7.0,,,4.092142,-0.10993624,3.7938074999999998,-3.0,0,2.59200442
144,201309220nwe,1,1,3,2013,20,7.0,1.5029633,,,9.729694,,20.0,1,5.61632865
145,201310200atl,1,1,7,2013,8,6.5,,8.801207000000002,-5.072246,,,8.0,1,1.8644805000000009
146,201309080nyj,1,1,1,2013,1,6.0,,,,,4.688848,1.0,1,4.688848
147,201312290nor,1,1,17,2013,25,11.5,14.433447,17.910542,6.0662403,,,25.0,1,12.803409766666666
148,201311030sea,-1,1,9,2013,3,15.5,,18.996075,,14.906978,16.152966,3.0,1,16.685339666666668
149,201410130ram,-1,-1,6,2014,-14,3.0,,,-0.9871193000000001,,2.4382691000000003,-14.0,0,0.7255749
150,201409210crd,1,1,3,2014,9,3.0,,,5.5619445,,,9.0,1,5.5619445
151,201412070rai,1,1,14,2014,11,8.5,,,,,-10.392997,11.0,1,-10.392997
152,201411160nyg,-1,-1,11,2014,-6,4.0,-4.991400700000001,,-15.637142,,,-6.0,0,-10.31427135
153,201410190den,1,1,7,2014,25,7.0,,8.961753,,0.7506832,10.5545025,25.0,1,6.755646233333333
154,201411090nor,-1,-1,10,2014,-3,6.0,7.9812284,2.0137742,,12.133245,,-3.0,0,7.376082533333334
155,201412140sea,1,1,15,2014,10,9.5,14.287529999999999,20.382215,,,,10.0,1,17.3348725
156,201409070dal,-1,-1,1,2014,-11,3.0,-5.862833999999999,,-4.0850983,,,-11.0,0,-4.97396615
157,201410190ram,1,1,7,2014,2,6.5,,,-2.5974152000000004,,,2.0,1,-2.5974152000000004
158,201409140sdg,1,1,2,2014,9,5.0,,-8.617674000000001,,-6.786401700000001,-4.7881947,9.0,1,-6.730756800000001
159,201410060was,-1,-1,5,2014,-10,7.0,,-6.938768400000001,,,,-10.0,0,-6.938768400000001
160,201410260car,1,-1,8,2014,-4,6.0,-8.062560000000001,,,-11.772961,,-4.0,0,-9.9177605
162,201412070phi,-1,-1,14,2014,-10,1.5,4.9351296,,,,5.617734400000001,-10.0,0,5.276432
163,201411160kan,1,1,11,2014,4,1.0,,0.6264578000000001,-1.5296976999999998,-17.878470999999998,0.37220606,4.0,1,-4.602376209999999
164,201411270sfo,-1,-1,13,2014,-16,1.0,-4.4688735,,0.7117049,-10.313955,,-16.0,0,-4.690374533333333
165,201411160ram,1,1,11,2014,15,8.0,-22.678469,,-13.668529500000002,-9.808176,-8.512245,15.0,1,-13.666854875
166,201412140sdg,-1,-1,15,2014,-12,4.5,-6.2135496,-4.7782855,,,-2.5037932,-12.0,0,-4.498542766666667
167,201412220cin,1,1,16,2014,9,3.5,,-8.377592,,-7.487750999999999,-9.641492,9.0,1,-8.502278333333333
168,201411020nwe,1,1,9,2014,22,3.0,,,,2.801742,3.8015282,22.0,1,3.3016351
169,201411300kan,-1,-1,13,2014,-13,1.0,2.5937812,-1.9920620999999998,-7.1480393,2.660269,3.7579809999999996,-13.0,0,-0.02561403999999996
170,201411090rai,-1,-1,10,2014,-24,13.0,-3.0153122000000003,-9.855078,,-4.730499299999999,-2.6620576000000002,-24.0,0,-5.065736775
171,201410120nyj,-1,-1,6,2014,-14,10.0,-12.783501,-7.633651700000001,,,,-14.0,0,-10.20857635
175,201409210nwe,-1,1,3,2014,7,13.5,,9.074031,,,,7.0,1,9.074031
176,201412140kan,1,1,15,2014,18,11.0,7.948422,12.868835,,3.8588114,,18.0,1,8.225356133333333
177,201409070nyj,-1,1,1,2014,5,6.5,,5.5046215,,9.508502,,5.0,1,7.5065617499999995
178,201412280den,1,1,17,2014,33,16.0,,15.598872,17.135451999999997,8.287855,9.335784,33.0,1,12.58949075
179,201411020sea,-1,1,9,2014,6,13.0,5.455697499999999,,21.32137,,17.71753,6.0,1,14.8315325
181,201412110ram,-1,-1,15,2014,-6,6.0,,,,9.107156,-0.86583436,-6.0,0,4.1206608199999994
182,201501030car,1,1,18,2014,11,5.5,,5.87093,11.563842999999999,,-0.9264841999999999,11.0,1,5.502762933333333
183,201411300atl,1,1,13,2014,11,1.5,-6.797233599999999,7.8145204,-1.0646254,8.523222,,11.0,1,2.11897085
184,201410190rai,-1,-1,7,2014,-11,3.5,,-13.078471,,-9.362741,,-11.0,0,-11.220606
185,201409140nyg,-1,-1,2,2014,-11,1.5,2.286013,,10.921180999999999,,,-11.0,0,6.603597
186,201410050den,1,1,5,2014,21,8.5,8.386144999999999,,13.011188,9.041232,,21.0,1,10.146188333333333
187,201411230sea,1,1,12,2014,16,7.5,,10.881071,9.841756,,,16.0,1,10.361413500000001
188,201411020dal,-1,-1,9,2014,-11,1.0,6.452339,0.38028008,,,,-11.0,0,3.4163095400000003
189,201412280sfo,-1,1,17,2014,3,6.0,,3.2191525000000003,6.996019400000001,,6.397264,3.0,1,5.5374786333333335
190,201412210ram,-1,-1,16,2014,-10,6.5,-4.7998867,,2.8309952999999997,8.704416,,-10.0,0,2.2451748666666664
191,201409250was,-1,-1,4,2014,-31,3.0,1.5713255,,1.9721706,,-1.5994343999999998,-31.0,0,0.6480205666666667
192,201409080det,1,1,1,2014,21,6.5,,,-1.6570182,-1.2751663,,21.0,1,-1.46609225
193,201412070oti,-1,-1,14,2014,-29,3.0,,-5.1159362999999995,-3.1817138,,,-29.0,0,-4.148825049999999
194,201410120phi,1,1,6,2014,27,1.5,,,,6.5650830000000004,,27.0,1,6.5650830000000004
195,201411300jax,1,1,13,2014,1,3.0,,-11.244489,,-19.202179,,1.0,1,-15.223334000000001
196,201411090sea,1,1,10,2014,21,9.0,,9.749589,13.537489,9.165113999999999,,21.0,1,10.817397333333332
197,201410190dal,1,1,7,2014,10,5.0,-5.7135925,2.4567087000000005,-7.5614243000000005,,3.2580880000000003,10.0,1,-1.8900550249999997
198,201509270ram,-1,-1,3,2015,-6,1.0,-4.209281,,0.20430142,10.462124000000001,0.11425412,-6.0,0,1.6428496350000004
199,201510120sdg,-1,-1,5,2015,-4,4.0,,-3.1923301,2.944872,,,-4.0,0,-0.1237290499999999
200,201512130cin,-1,-1,14,2015,-13,1.0,,3.012912,,3.771264,,-13.0,0,3.392088
201,201601090cin,-1,-1,18,2015,-2,1.5,-12.944071000000001,,-4.586606,,-6.5665507,-2.0,0,-8.032409233333334
202,201512270rav,1,1,16,2015,3,11.0,,,-0.031262875,-3.3477843000000003,,3.0,1,-1.6895235875
203,201510250kan,1,1,7,2015,10,3.5,,6.940562,8.965641999999999,,9.54531,10.0,1,8.483838
204,201511290sea,1,1,12,2015,9,3.0,,,12.03476,,4.792637,9.0,1,8.4136985
205,201601030cle,-1,-1,17,2015,-16,12.5,-2.8145284999999998,-7.8622255,-7.110937,,-8.131003,-16.0,0,-6.4796735
206,201510250ram,1,1,7,2015,18,6.0,,3.4258268,,2.73538,-0.6321225,18.0,1,1.8430281
207,201510040sdg,-1,1,4,2015,3,4.5,-1.8714278000000002,0.6693816,,-0.6993693,,3.0,1,-0.6338051666666668
208,201511050cin,1,1,9,2015,21,13.0,9.945030000000001,,,,14.904418,21.0,1,12.424724000000001
209,201511150pit,1,1,10,2015,21,7.0,-0.5911459,14.5356455,,8.91573,14.281156,21.0,1,9.285346399999998
210,201510110rav,-1,-1,5,2015,-3,6.5,18.132433,13.171723000000002,4.0420046,,10.226814,-3.0,0,11.393243649999999
211,201512270kan,-1,1,16,2015,4,11.5,,,21.662367,12.428874,,4.0,1,17.0456205
212,201509130nyj,1,1,1,2015,21,3.5,4.328013400000001,5.744756,,4.777701400000001,,21.0,1,4.950156933333333
213,201512200sea,1,1,15,2015,17,14.5,,13.998234,17.681406,,17.357906,17.0,1,16.345848666666665
214,201511010ram,1,1,8,2015,21,7.5,,12.19312,,,,21.0,1,12.19312
215,201512060chi,-1,-1,13,2015,-6,6.5,4.1824864999999996,15.659296,,-3.810821,8.086,-6.0,0,6.0292403750000005
216,201509270crd,1,1,3,2015,40,7.0,,11.566355,9.012734,3.2150442999999997,,40.0,1,7.9313777666666665
217,201512270det,1,1,16,2015,15,9.0,,,8.358914,5.156031,,15.0,1,6.7574725
218,201509200pit,1,1,2,2015,25,6.0,,6.827172,,11.231552,,25.0,1,9.029362
219,201510110nyg,-1,1,5,2015,3,7.5,7.288500999999999,,13.036005000000001,-0.73279536,9.750077000000001,3.0,1,7.33544691
220,201511220sea,1,1,11,2015,16,14.0,2.576533,18.878473,16.744298999999998,7.8443375,,16.0,1,11.510910625
221,201512130cle,1,1,14,2015,14,2.5,,,4.7314987,,1.2674279,14.0,1,2.9994633000000004
