Bin,Lost,Won
0,9,2
1,16,6
2,13,9
3,15,7
4,16,6
5,14,8
6,16,7
7,14,8
8,16,6
9,14,8
10,16,6
11,15,8
12,14,8
13,12,10
14,16,6
15,9,13
16,9,13
17,17,6
18,16,6
19,15,7
20,14,8
21,13,9
22,14,9
23,10,12
24,9,13
25,13,9
26,15,7
27,8,14
28,11,12
29,10,12
30,11,11
31,14,8
32,13,9
33,12,11
34,13,9
35,12,10
36,9,13
37,10,12
38,10,12
39,13,10
40,7,15
41,13,9
42,8,14
43,9,13
44,18,5
45,7,15
46,9,13
47,9,13
48,10,12
49,8,14
50,12,11
51,10,12
52,11,11
53,11,11
54,12,10
55,7,15
56,13,10
57,13,9
58,9,13
59,9,13
60,10,12
61,6,17
62,8,14
63,10,12
64,8,14
65,6,16
66,9,13
67,7,16
68,7,15
69,6,16
70,4,18
71,8,14
72,6,17
73,7,15
74,10,12
75,7,15
76,5,17
77,4,18
78,6,17
79,6,16
80,3,19
81,4,18
82,5,17
83,9,14
84,8,14
85,5,17
86,6,16
87,2,20
88,4,18
89,6,17
90,5,17
91,6,16
92,4,18
93,7,15
94,4,19
95,7,15
96,3,19
97,3,19
98,2,20
99,5,17
100,2,10
