Percentile,Lost,Won
0,10,2
1,15,7
2,14,8
3,15,7
4,15,7
5,14,8
6,17,6
7,14,8
8,16,6
9,14,8
10,15,7
11,16,7
12,13,9
13,13,9
14,15,7
15,10,12
16,8,14
17,17,6
18,17,5
19,15,7
20,13,9
21,14,8
22,13,10
23,10,12
24,10,12
25,12,10
26,16,6
27,7,15
28,11,12
29,10,12
30,12,10
31,14,8
32,12,10
33,12,11
34,14,8
35,11,11
36,10,12
37,10,12
38,10,12
39,12,11
40,8,14
41,13,9
42,8,14
43,9,13
44,17,6
45,7,15
46,10,12
47,8,14
48,11,11
49,8,14
50,11,12
51,10,12
52,12,10
53,10,12
54,12,10
55,8,14
56,13,10
57,13,9
58,8,14
59,9,13
60,10,12
61,6,17
62,8,14
63,11,11
64,7,15
65,7,15
66,8,14
67,7,16
68,7,15
69,6,16
70,4,18
71,8,14
72,6,17
73,7,15
74,10,12
75,7,15
76,5,17
77,4,18
78,6,17
79,6,16
80,3,19
81,4,18
82,6,16
83,8,15
84,9,13
85,4,18
86,6,16
87,2,20
88,5,17
89,5,18
90,5,17
91,6,16
92,4,18
93,7,15
94,4,19
95,7,15
96,3,19
97,3,19
98,2,20
99,6,16
100,1,10
