,regression_label,regression_score,LOWESS Wide Window,LOWESS Tight Window,OLS
0,-46.0,-5.442849266666666,-10.11317832572383,-0.6810991148691834,-6.095281526466622
1,-45.0,9.372435249999999,-9.714839070374346,-1.5346286669137512,-5.920747625672257
2,-38.0,-8.839117166666666,-9.704598242870683,-1.5555045917744625,-4.699010320111699
3,-38.0,-5.58586215,-9.699173361893926,-1.5665418338829964,-4.699010320111699
4,-38.0,-2.8579314,-9.263323693039778,-2.406844573993495,-4.699010320111699
5,-37.0,-10.2468,-9.230293775180773,-2.466962892948753,-4.524476419317334
6,-36.0,-7.750613374999999,-9.005953714733836,-2.8635734284535816,-4.349942518522969
7,-35.0,-9.264917,-8.619518705556446,-3.5118006006062723,-4.175408617728603
8,-35.0,-5.077565166666667,-8.595669779512663,-3.550973725847325,-4.175408617728603
9,-35.0,-4.7398749,-8.57690887771278,-3.5817577126110995,-4.175408617728603
10,-35.0,-2.65894955,-8.537900435905504,-3.64568997994453,-4.175408617728603
11,-34.0,-9.508309866666666,-8.506366830049922,-3.6973067367928727,-4.000874716934238
12,-34.0,-8.208664,-8.327136896896665,-3.9904375101404264,-4.000874716934238
13,-34.0,-5.325012823333334,-8.153042418245171,-4.277744725988409,-4.000874716934238
14,-34.0,-2.4150884,-8.100944034158488,-4.364894455281798,-4.000874716934238
15,-34.0,-2.2350458,-8.083835926053716,-4.393653760965278,-4.000874716934238
16,-34.0,-1.3327886,-8.002540546615016,-4.531208464418133,-4.000874716934238
17,-34.0,2.1668579500000003,-7.96894825574853,-4.5883993259372,-4.000874716934238
18,-34.0,7.3894866666666665,-7.901684623756064,-4.703159843987489,-4.000874716934238
19,-33.0,-1.97765895,-7.848206053589173,-4.79410957765614,-3.826340816139873
20,-33.0,-0.6837063050000001,-7.820026459912112,-4.841699417781199,-3.826340816139873
21,-32.0,-4.729535466666667,-7.802298487530454,-4.871454735919861,-3.6518069153455075
22,-32.0,7.520301920000001,-7.785690979896126,-4.899170801403118,-3.6518069153455075
23,-31.0,-11.439550325,-7.736286859767142,-4.980510613109003,-3.477273014551142
24,-31.0,-11.418418666666668,-7.719205244573065,-5.008186592001514,-3.477273014551142
25,-31.0,-10.23665,-7.680181147145729,-5.070451018744545,-3.477273014551142
26,-31.0,-7.406296626,-7.6529985723609615,-5.113028445966828,-3.477273014551142
27,-31.0,-7.382735950000001,-7.542275306043358,-5.278042791538284,-3.477273014551142
28,-31.0,-6.48912698,-7.528179727283808,-5.2986149155447855,-3.477273014551142
29,-31.0,-6.1358795,-7.470488444727049,-5.379860182611428,-3.477273014551142
30,-31.0,-5.2269066,-7.341471002369251,-5.533834008694828,-3.477273014551142
31,-31.0,-5.1631827675,-7.311799664196785,-5.567598182380853,-3.477273014551142
32,-31.0,6.5009999,-7.306720294632087,-5.573244153236542,-3.477273014551142
33,-31.0,8.44047635,-7.298460605201284,-5.58233342081806,-3.477273014551142
34,-31.0,12.3880555,-7.280481111069474,-5.601700683192168,-3.477273014551142
35,-30.0,-10.9162935,-7.259934789988049,-5.623068266899088,-3.302739113756777
36,-30.0,-8.591180466666666,-7.155135154322447,-5.71682810252595,-3.302739113756777
37,-30.0,-8.517828333333334,-7.0559185925164964,-5.780427436228328,-3.302739113756777
38,-30.0,-4.805584400000001,-7.048770295701993,-5.784711345997007,-3.302739113756777
39,-30.0,-1.2646692,-7.011150243787425,-5.806185749306078,-3.302739113756777
40,-30.0,-0.15235999999999994,-6.999840648875621,-5.812261343313561,-3.302739113756777
41,-30.0,3.39544465,-6.970319241957045,-5.8272329505042695,-3.302739113756777
42,-30.0,13.694751833333333,-6.953345459084818,-5.835254141568737,-3.302739113756777
43,-29.0,-12.521774,-6.856872770088465,-5.8709254717339405,-3.1282052129624116
44,-29.0,-10.099382449999998,-6.842127025690758,-5.874650197188145,-3.1282052129624116
45,-29.0,-4.02068805,-6.816374824920486,-5.87964167412453,-3.1282052129624116
46,-29.0,-2.8563712199999998,-6.814003592348775,-5.879998528345591,-3.1282052129624116
47,-29.0,-2.4831648,-6.802050096778746,-5.8815204408082735,-3.1282052129624116
48,-29.0,-1.5183727313333335,-6.767932375065257,-5.883204203612641,-3.1282052129624116
49,-29.0,9.528375866666666,-6.765274639796355,-5.883164506995982,-3.1282052129624116
50,-28.0,-15.77013,-6.747908763803951,-5.882286024127363,-2.953671312168046
51,-28.0,-15.603056333333335,-6.721356584766244,-5.88143520806331,-2.953671312168046
52,-28.0,-15.327234666666667,-6.703658615014085,-5.883005607569787,-2.953671312168046
53,-28.0,-7.057956333333333,-6.690364028021058,-5.880934094613725,-2.953671312168046
54,-28.0,-6.943170266666667,-6.687977418458619,-5.880441709955524,-2.953671312168046
55,-28.0,-6.111989949999999,-6.679174196145439,-5.878515501721877,-2.953671312168046
56,-28.0,-6.075103499999999,-6.664985313731003,-5.875478582864222,-2.953671312168046
57,-28.0,-4.602373350000001,-6.638842749481624,-5.8739990928579715,-2.953671312168046
58,-28.0,-1.8119879799999998,-6.616425119403611,-5.869215853302088,-2.953671312168046
59,-28.0,-0.66367364,-6.609282314924447,-5.867827027319492,-2.953671312168046
60,-28.0,-0.50612783,-6.552649327094899,-5.862843083178945,-2.953671312168046
61,-28.0,0.4858764400000001,-6.551647058725339,-5.862864928893548,-2.953671312168046
62,-28.0,3.111084166666666,-6.53827981560034,-5.863719812228757,-2.953671312168046
63,-28.0,7.876496800000001,-6.512677948304193,-5.868336270264801,-2.953671312168046
64,-28.0,10.6711785,-6.445873877445825,-5.9018093194277395,-2.953671312168046
65,-27.0,-5.371616633333335,-6.442208561590511,-5.903718514821503,-2.7791374113736813
66,-27.0,-5.1547205,-6.418836398030769,-5.917866986768036,-2.7791374113736813
67,-27.0,-4.35543154,-6.416482211672567,-5.920221773589666,-2.7791374113736813
68,-27.0,-0.7947463574999999,-6.409747962282117,-5.927038520391408,-2.7791374113736813
69,-27.0,-0.71423316,-6.398942826054708,-5.935304658733235,-2.7791374113736813
70,-27.0,-0.22466346666666667,-6.395809953057852,-5.937292785610828,-2.7791374113736813
71,-27.0,0.06863326666666654,-6.388960587339452,-5.941857504305458,-2.7791374113736813
72,-27.0,0.20920681999999985,-6.371289189658367,-5.952041421696589,-2.7791374113736813
73,-27.0,0.92003975,-6.333282293595703,-5.972665701712659,-2.7791374113736813
74,-27.0,1.0624757249999996,-6.297335765224713,-5.986032958003549,-2.7791374113736813
75,-27.0,4.08093257,-6.289969192674301,-5.989341716782538,-2.7791374113736813
76,-26.0,-3.7694684499999997,-6.283515309599928,-5.9907134917691245,-2.6046035105793157
77,-26.0,-1.3796075333333337,-6.280644995441597,-5.9912512410056555,-2.6046035105793157
78,-26.0,0.4968036500000004,-6.265900284497939,-5.993824900365977,-2.6046035105793157
