,game_id,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,0_regression_score,1_regression_score,2_regression_score,3_regression_score,4_regression_score,regression_label,label,regression_score
0,200909140nwe,-1,1,1,2009,1,13.5,,14.048865,,,,1.0,1,14.048865
1,200911150oti,1,1,10,2009,24,7.5,,,,9.032824,11.290329,24.0,1,10.161576499999999
2,200912270atl,1,1,16,2009,28,7.5,,,,8.948507000000001,19.727529999999998,28.0,1,14.3380185
3,200912130kan,-1,-1,14,2009,-6,2.5,-1.9117656000000003,1.2405887,-1.0114739,,-0.58117056,-6.0,0,-0.7963222299999999
4,201001030min,1,1,17,2009,37,8.5,1.2114155,9.1599045,18.970047,,-3.1125715,37.0,1,5.1856599999999995
5,200912210was,-1,-1,15,2009,-33,3.0,1.2642711000000002,-5.219589,,,,-33.0,0,-1.97765895
6,200911260den,1,1,12,2009,20,4.5,,-2.5896150000000002,-1.0009217,-12.013009,,20.0,1,-2.5896150000000002
7,200909270tam,-1,-1,3,2009,-24,6.0,-14.803104000000001,,,-12.895548,,-24.0,0,-13.849326000000001
8,200911010phi,1,1,8,2009,23,3.0,,1.1746454,13.214374,-4.5760107,1.3217290000000002,23.0,1,1.2481872
9,200910040kan,-1,-1,4,2009,-11,9.5,-10.756175,,,,,-11.0,0,-10.756175
10,200910180nor,1,1,6,2009,21,3.0,-7.039586,7.1223474,,-1.3751155000000002,8.480127,21.0,1,2.8736159499999996
11,200909200dal,-1,-1,2,2009,-2,3.0,,6.0554194,1.2489972,8.270826,-2.3437386,-2.0,0,3.6522083
12,200712090nyj,-1,-1,14,2007,-6,3.0,,,,,-10.789475,-6.0,0,-10.789475
14,200710280ram,-1,-1,8,2007,-7,3.0,-4.0751349999999995,-6.789855,,-2.2399538,,-7.0,0,-4.0751349999999995
15,200712230cin,1,1,16,2007,5,2.0,,8.528065,4.305678400000001,,,5.0,1,6.4168717
16,200712020crd,1,1,13,2007,6,1.0,-5.3133903,,,6.2442923,,6.0,1,0.46545099999999984
17,200710070nwe,1,1,5,2007,17,15.5,27.580016999999998,,,,,17.0,1,27.580016999999998
18,200711110pit,-1,1,10,2007,3,9.0,,,,,19.807292999999998,3.0,1,19.807292999999998
19,200711180rav,-1,-1,11,2007,-3,1.0,5.2079754000000005,,-5.354466,-1.7040009999999999,,-3.0,0,-1.7040009999999999
20,200809280nyj,1,1,4,2008,21,1.0,-3.8375702000000005,,,4.3529160000000005,0.12228817,21.0,1,0.12228817
21,200811020ram,-1,-1,9,2008,-21,3.0,,-4.1240172,,,-7.6829089999999995,-21.0,0,-5.9034631
22,200811160sea,-1,-1,11,2008,-6,3.0,,,,-3.0712224999999997,7.0016303,-6.0,0,1.9652039000000003
23,200809210was,1,1,3,2008,7,3.0,,3.228551,,1.6540601000000001,,7.0,1,2.44130555
24,200810260car,-1,1,8,2008,4,4.5,,7.331122,,7.606337,,4.0,1,7.4687295
25,200901100car,-1,-1,19,2008,-20,10.0,25.150226999999997,13.601553,,,7.5492315,-20.0,0,13.601553
26,200812210nwe,1,1,16,2008,40,8.0,15.049783999999999,17.067623,9.737649000000001,13.641928,,40.0,1,14.345856
27,200811270phi,1,1,13,2008,28,3.0,-10.009962,1.8804543999999999,1.0502757999999999,11.282345,,28.0,1,1.4653650999999999
28,200809070sfo,-1,-1,1,2008,-10,2.5,-2.4389439,,-2.2086740000000002,-3.3082108,5.5650806,-10.0,0,-2.32380895
29,200810260nyj,-1,1,8,2008,4,13.0,14.239014000000001,,,,,4.0,1,14.239014000000001
30,200811090sdg,-1,1,10,2008,1,15.0,,,10.195847,15.228375,11.303953,1.0,1,11.303953
31,200812280cin,1,1,17,2008,10,1.5,3.1484964,,,,-5.566663,10.0,1,-1.2090833
32,200810050car,1,1,5,2008,34,10.0,,,13.294270000000001,,11.070044000000001,34.0,1,12.182157
33,200812070den,-1,1,14,2008,7,9.0,,,6.1164665000000005,1.4563208,11.128263,7.0,1,6.1164665000000005
34,200809070nwe,-1,1,1,2008,7,16.0,,17.84238,,9.515505000000001,,7.0,1,13.6789425
35,200809210atl,1,1,3,2008,24,6.0,,,4.9917274,19.521079999999998,2.545188,24.0,1,4.9917274
36,200811300rai,-1,-1,13,2008,-7,3.0,2.6403654,3.6897974000000002,,,,-7.0,0,3.1650814
37,200811090nyj,1,1,10,2008,44,9.5,,4.8733716,,,,44.0,1,4.8733716
38,200809210sea,1,1,3,2008,24,8.0,1.2071428,,,13.8207445,6.352288,24.0,1,6.352288
39,200810120was,-1,-1,6,2008,-2,12.0,13.699541,0.055544734000000005,,,,-2.0,0,6.877542867
40,200812070crd,1,1,14,2008,24,14.5,21.329874,12.892403,13.90605,6.057195,7.8923309999999995,24.0,1,12.892403
41,200809070phi,1,1,1,2008,35,7.5,,14.322308999999999,7.3330470000000005,7.597282000000001,,35.0,1,7.597282000000001
42,200812280atl,-1,1,17,2008,4,14.0,,7.3544415999999995,,,,4.0,1,7.3544415999999995
43,200811160sfo,1,1,11,2008,19,7.0,-1.7222927,-4.026566000000001,,1.3641787,,19.0,1,-1.7222927
44,200910110car,-1,1,5,2009,3,5.0,-12.128950999999999,-5.056242,,3.8879101,-4.535634,3.0,1,-4.795938
45,200909270det,1,1,3,2009,5,6.5,,,6.087644999999999,-1.5629028999999999,,5.0,1,2.2623710499999996
46,200911290phi,-1,1,12,2009,3,10.0,,,11.883927,,11.885172,3.0,1,11.8845495
47,200911080atl,1,1,9,2009,14,8.5,8.54458,,,,6.4322976999999995,14.0,1,7.48843885
48,200912130rai,-1,-1,14,2009,-21,2.0,,,2.8246436000000004,,-2.6796167,-21.0,0,0.0725134500000002
49,200911220dal,-1,1,11,2009,1,10.5,11.225012,21.201498,,17.34344,,1.0,1,17.34344
50,200911220nyg,-1,1,11,2009,3,7.0,,0.38622248,,,,3.0,1,0.38622248
51,200912200nyj,-1,-1,15,2009,-3,5.0,,12.220899000000001,-7.288147400000001,,,-3.0,0,2.4663758000000002
52,200911150car,1,1,10,2009,9,1.0,,-3.2006593,,-5.9327526,,9.0,1,-4.566705949999999
53,200909270nwe,1,1,3,2009,16,4.5,2.40972,16.813010000000002,,9.399892,,16.0,1,9.399892
54,201001030tam,-1,-1,17,2009,-10,3.0,,-3.3059017999999996,-16.064536999999998,-1.1250182,,-10.0,0,-3.3059017999999996
55,200911020nor,-1,1,8,2009,8,11.0,,12.7831545,,13.284958,18.097729,8.0,1,13.284958
56,200910110sfo,-1,-1,5,2009,-35,0.0,-0.5842626999999999,-4.7336364,,,,-35.0,0,-2.65894955
57,200910250dal,1,1,7,2009,16,5.0,,11.235958,10.576255999999999,9.337841000000001,10.914835,16.0,1,10.745545499999999
58,200912130nyg,-1,-1,14,2009,-7,1.0,2.9934025,,,,-8.232584,-7.0,0,-2.6195907499999995
59,200911150sdg,1,1,10,2009,8,1.0,9.649386999999999,,3.776679,,-7.5115614,8.0,1,3.776679
60,200910260was,-1,-1,7,2009,-10,9.0,-12.056363000000001,,-5.027856,-11.171469,,-10.0,0,-11.171469
61,200909130car,-1,-1,1,2009,-28,2.5,-4.090038,,15.295964999999999,-1.8726744999999998,,-28.0,0,-1.8726744999999998
