Bin,Lost,Won
0,8.0,3.0
1,15.0,7.0
2,16.0,6.0
3,12.0,11.0
4,14.0,8.0
5,15.0,7.0
6,16.0,6.0
7,17.0,6.0
8,16.0,6.0
9,16.0,6.0
10,18.0,5.0
11,17.0,5.0
12,13.0,9.0
13,13.0,9.0
14,10.0,13.0
15,10.0,12.0
16,9.0,13.0
17,16.0,7.0
18,12.0,10.0
19,14.0,8.0
20,10.0,12.0
21,15.0,8.0
22,9.0,13.0
23,11.0,11.0
24,14.0,9.0
25,11.0,11.0
26,13.0,9.0
27,12.0,10.0
28,13.0,10.0
29,13.0,9.0
30,11.0,11.0
31,13.0,10.0
32,11.0,11.0
33,11.0,11.0
34,11.0,12.0
35,14.0,8.0
36,11.0,11.0
37,13.0,9.0
38,14.0,9.0
39,12.0,10.0
40,6.0,16.0
41,14.0,9.0
42,10.0,12.0
43,10.0,12.0
44,9.0,13.0
45,9.0,14.0
46,11.0,11.0
47,8.0,14.0
48,9.0,14.0
49,8.0,14.0
50,11.0,11.0
51,9.0,13.0
52,7.0,16.0
53,5.0,17.0
54,10.0,12.0
55,12.0,11.0
56,10.0,12.0
57,9.0,13.0
58,12.0,10.0
59,7.0,16.0
60,12.0,10.0
61,6.0,16.0
62,8.0,15.0
63,12.0,10.0
64,6.0,16.0
65,6.0,16.0
66,10.0,13.0
67,7.0,15.0
68,5.0,17.0
69,10.0,13.0
70,7.0,15.0
71,7.0,15.0
72,7.0,16.0
73,8.0,14.0
74,5.0,17.0
75,9.0,13.0
76,9.0,14.0
77,7.0,15.0
78,6.0,16.0
79,8.0,15.0
80,7.0,15.0
81,8.0,14.0
82,9.0,13.0
83,5.0,18.0
84,7.0,15.0
85,5.0,17.0
86,6.0,17.0
87,5.0,17.0
88,5.0,17.0
89,5.0,17.0
90,6.0,17.0
91,6.0,16.0
92,4.0,18.0
93,3.0,20.0
94,2.0,20.0
95,9.0,13.0
96,6.0,16.0
97,1.0,22.0
98,1.0,21.0
99,4.0,18.0
100,0.0,12.0
