Percentile,Lost,Won
0,10,2
1,15,7
2,16,6
3,15,7
4,14,8
5,15,7
6,17,6
7,11,11
8,15,7
9,13,9
10,16,6
11,13,10
12,17,5
13,14,8
14,15,7
15,11,11
16,12,10
17,16,7
18,14,8
19,15,7
20,10,12
21,14,8
22,16,7
23,13,9
24,12,10
25,12,10
26,10,12
27,13,9
28,11,12
29,8,14
30,11,11
31,11,11
32,7,15
33,10,13
34,15,7
35,8,14
36,14,8
37,13,9
38,12,10
39,13,10
40,9,13
41,16,6
42,10,12
43,7,15
44,12,11
45,11,11
46,9,13
47,9,13
48,8,14
49,11,11
50,10,13
51,12,10
52,14,8
53,6,16
54,10,12
55,10,12
56,8,15
57,8,14
58,5,17
59,9,13
60,7,15
61,9,14
62,9,13
63,8,14
64,10,12
65,8,14
66,9,13
67,8,15
68,8,14
69,6,16
70,6,16
71,9,13
72,7,16
73,9,13
74,9,13
75,5,17
76,4,18
77,5,17
78,3,20
79,6,16
80,4,18
81,6,16
82,6,16
83,8,15
84,13,9
85,2,20
86,4,18
87,5,17
88,6,16
89,6,17
90,3,19
91,6,16
92,3,19
93,7,15
94,5,18
95,6,16
96,3,19
97,3,19
98,3,19
99,5,17
100,1,10
