,regression_label,regression_score,LOWESS Wide Window,LOWESS Tight Window,OLS
0,-46.0,-8.7206,-11.040884973895619,-9.219642839037048,-6.2036102244989255
1,-45.0,7.527361999999999,-10.739744083672766,-9.102156172400809,-6.021766283871447
2,-38.0,-7.332558499999999,-10.28675606551091,-8.883508093949409,-4.7488586994790865
3,-38.0,-5.575977,-10.2491527715053,-8.863504242787032,-4.7488586994790865
4,-38.0,2.285079,-10.155161605556893,-8.812537698038533,-4.7488586994790865
5,-37.0,-12.09961625,-9.865207028554734,-8.649975489790464,-4.567014758851607
6,-36.0,-15.286072,-9.641258408240626,-8.525250535784524,-4.385170818224126
7,-35.0,-9.520485,-9.600812752929652,-8.503430578386356,-4.203326877596647
8,-35.0,-7.3450615,-9.57211758931469,-8.488142288448978,-4.203326877596647
9,-35.0,-4.65468675,-9.566557413943055,-8.485199304224643,-4.203326877596647
10,-35.0,-3.3641292999999997,-9.417760593309579,-8.408856561988959,-4.203326877596647
11,-34.0,-10.141726,-9.342270036544484,-8.371952686002732,-4.021482936969167
12,-34.0,-6.31502165,-9.203444358209723,-8.307584502350279,-4.021482936969167
13,-34.0,-3.3415556000000004,-9.151317114983412,-8.284712637381103,-4.021482936969167
14,-34.0,-1.7469477999999998,-8.975114366155692,-8.213225969089601,-4.021482936969167
15,-34.0,1.8438780649999997,-8.887288430995314,-8.181194605885485,-4.021482936969167
16,-34.0,2.5878353,-8.744937828725154,-8.13429346436973,-4.021482936969167
17,-34.0,6.724619000000001,-8.718665528129607,-8.126262443510255,-4.021482936969167
18,-34.0,6.9399443,-8.712191421870926,-8.124309856076607,-4.021482936969167
19,-33.0,-1.0176295,-8.583750250430182,-8.087198168921088,-3.8396389963416864
20,-33.0,0.0047526658,-8.453914086027014,-8.05027497256609,-3.8396389963416864
21,-32.0,-3.345274,-8.450955339114584,-8.049398482135672,-3.6577950557142067
22,-32.0,6.9305225,-8.444992157857662,-8.047623189812498,-3.6577950557142067
23,-31.0,-16.876109,-8.43558169802988,-8.044796070693861,-3.475951115086727
24,-31.0,-13.893320000000001,-8.361076830662954,-8.020920976997097,-3.475951115086727
25,-31.0,-13.298009,-8.312901638942302,-8.003471515097829,-3.475951115086727
26,-31.0,-11.891133499999999,-8.285134678834757,-7.992427373096889,-3.475951115086727
27,-31.0,-11.855818,-8.256864379314525,-7.98028646709131,-3.475951115086727
28,-31.0,-10.74403735,-8.140923822401511,-7.917954029034695,-3.475951115086727
29,-31.0,-9.57933,-8.050239752818918,-7.850449993342209,-3.475951115086727
30,-31.0,-4.960805000000001,-8.016182228619185,-7.820027656644261,-3.475951115086727
31,-31.0,0.55596672,-8.010324390295528,-7.814509570198857,-3.475951115086727
32,-31.0,1.5713255,-8.007635976438214,-7.8119493658209365,-3.475951115086727
33,-31.0,5.0528474,-7.709196843046817,-7.431175676261409,-3.475951115086727
34,-31.0,6.3679414,-7.703375693638429,-7.421834027547006,-3.475951115086727
35,-30.0,-14.40643085,-7.665655305006863,-7.359189814251724,-3.2941071744592465
36,-30.0,-11.027405,-7.576270842319626,-7.19726360904375,-3.2941071744592465
37,-30.0,-7.8937807,-7.568695319492559,-7.182853616066271,-3.2941071744592465
38,-30.0,-7.2591696,-7.562441557522274,-7.170906486369017,-3.2941071744592465
39,-30.0,-5.742249,-7.492296858992136,-7.040589485989419,-3.2941071744592465
40,-30.0,-3.037874,-7.487514774443503,-7.0314518325802196,-3.2941071744592465
41,-30.0,7.242331,-7.472157508797637,-7.002214397590127,-3.2941071744592465
42,-30.0,10.227315,-7.454015361140175,-6.977045421202666,-3.2941071744592465
43,-29.0,-8.937092,-7.438642180743429,-6.948435264082335,-3.112263233831767
44,-29.0,-4.148825049999999,-7.432452070804492,-6.936996234399592,-3.112263233831767
45,-29.0,-3.8512516000000003,-7.412369649143329,-6.900242082200558,-3.112263233831767
46,-29.0,-2.5800265,-7.3782480335166785,-6.839242396849914,-3.112263233831767
47,-29.0,3.45027175,-7.361443222764819,-6.809980295301547,-3.112263233831767
48,-28.0,-16.931472499999998,-7.27086219424071,-6.666062169973231,-2.930419293204287
49,-28.0,-13.0566055,-7.2625327318329065,-6.653478574534695,-2.930419293204287
50,-28.0,-9.588923,-7.170251045104729,-6.519826880646841,-2.930419293204287
51,-28.0,-8.521699,-7.120197658808004,-6.451156814755061,-2.930419293204287
52,-28.0,-5.9959287,-7.070563782972185,-6.370590560753227,-2.930419293204287
53,-28.0,-3.9848517999999995,-7.049826665721086,-6.342093829289339,-2.930419293204287
54,-28.0,-3.78945035,-7.045451825493876,-6.334851877726341,-2.930419293204287
55,-28.0,-2.51794615,-7.01145741227107,-6.279571565663317,-2.930419293204287
56,-28.0,-0.82136568,-6.997798349369365,-6.257466266852537,-2.930419293204287
